Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,ATL,MIA,tehej001,alvah001,2,1,33,6,1,0,0,2,1,0,0,1,0,7,1,0,0,0,6,4,1,1,0,0,27,12,0,0,2,0
2015-04-07,0,Tue,ATL,MIA,wooda002,latom001,12,2,37,14,4,0,0,12,2,0,0,7,1,5,1,0,2,0,7,4,2,2,0,0,27,10,0,0,2,0
2015-04-08,0,Wed,ATL,MIA,mills001,koeht001,2,0,29,6,0,0,1,2,0,0,1,3,0,6,0,0,2,0,4,5,0,0,0,0,27,12,0,0,0,0
2015-04-10,0,Fri,NYN,ATL,niesj001,stule002,3,5,35,9,3,0,1,4,1,0,0,3,1,7,2,0,0,0,10,6,3,3,0,0,27,10,0,0,2,0
2015-04-11,0,Sat,NYN,ATL,gee-d001,tehej001,3,5,31,9,3,1,1,5,1,0,0,0,0,4,0,0,1,0,3,4,1,1,0,0,27,11,1,0,2,0
2015-04-12,0,Sun,NYN,ATL,colob001,wooda002,4,3,34,7,1,1,1,3,0,0,0,0,0,8,1,0,0,0,4,4,4,4,1,0,27,13,0,0,2,0
2015-04-13,0,Mon,MIA,ATL,latom001,mills001,2,3,28,7,3,0,0,2,0,0,0,7,0,8,1,2,1,0,8,4,2,2,0,0,27,11,0,0,1,0
2015-04-14,0,Tue,MIA,ATL,koeht001,cahit001,8,2,35,8,1,0,2,2,0,0,0,2,0,6,1,0,0,0,8,4,8,8,0,0,27,9,0,0,1,0
2015-04-15,0,Wed,MIA,ATL,hared001,stule002,6,2,30,3,0,0,2,2,0,0,0,2,0,7,0,0,1,0,3,4,6,6,0,0,27,15,0,0,2,0
2015-04-17,0,Fri,ATL,TOR,tehej001,hutcd001,8,7,40,12,1,1,2,8,0,0,0,5,0,8,0,0,0,0,10,5,7,7,0,0,27,11,0,0,0,0
2015-04-18,0,Sat,ATL,TOR,wooda002,dickr001,5,6,37,9,0,0,3,5,0,1,0,4,0,10,0,1,0,0,7,5,6,6,0,0,27,15,0,0,5,0
2015-04-19,0,Sun,ATL,TOR,mills001,norrd002,5,2,30,8,2,0,0,4,1,1,0,5,0,6,0,1,0,0,5,4,2,2,0,0,27,7,0,0,2,0
2015-04-21,0,Tue,ATL,NYN,cahit001,niesj001,1,7,31,5,0,0,1,1,0,0,1,5,0,7,0,0,1,0,9,4,6,6,0,0,24,11,2,0,1,0
2015-04-22,0,Wed,ATL,NYN,stule002,gee-d001,2,3,32,8,1,1,0,2,0,1,0,3,1,4,0,0,2,0,7,4,3,3,1,0,24,9,1,0,1,0
2015-04-23,0,Thu,ATL,NYN,tehej001,colob001,3,6,33,8,2,0,0,3,0,1,0,1,0,9,0,1,1,0,5,5,6,6,1,1,24,9,0,0,0,0
2015-04-24,0,Fri,ATL,PHI,wooda002,haraa001,0,1,26,2,1,0,0,0,0,0,0,2,0,6,0,0,3,0,1,4,0,0,1,0,25,10,4,1,0,0
2015-04-25,0,Sat,ATL,PHI,mills001,buchd001,5,2,34,9,2,0,1,5,0,0,0,4,0,5,1,0,1,0,6,4,2,2,0,0,27,11,1,0,0,0
2015-04-26,0,Sun,ATL,PHI,cahit001,willj003,4,5,36,10,3,0,1,4,0,0,0,4,0,4,0,0,1,0,9,3,4,4,0,0,24,13,1,0,0,0
2015-04-27,0,Mon,WAS,ATL,fistd001,stule002,4,8,31,13,1,0,1,8,2,3,1,3,0,7,1,0,0,0,8,4,4,4,1,0,27,9,2,0,0,0
2015-04-28,0,Tue,WAS,ATL,colea002,tehej001,13,12,41,17,4,0,0,10,2,1,0,7,1,3,1,0,1,0,12,5,9,9,0,0,27,10,1,0,1,0
2015-04-29,0,Wed,WAS,ATL,zimmj003,wooda002,13,4,32,8,1,0,0,3,0,0,0,1,0,10,0,1,1,0,2,4,13,13,2,0,27,8,1,0,0,0
2015-04-30,0,Thu,CIN,ATL,leakm001,mills001,5,1,28,4,2,0,0,1,0,0,0,3,0,3,0,1,2,0,3,3,4,4,0,0,27,7,0,1,1,0
2015-05-01,0,Fri,CIN,ATL,desca001,foltm001,3,4,28,5,1,0,1,4,1,0,0,6,1,7,1,0,0,0,7,5,2,2,0,0,27,7,0,1,1,0
2015-05-02,0,Sat,CIN,ATL,marqj001,stule002,8,4,32,7,1,0,1,4,1,0,0,3,0,10,0,0,0,0,5,3,8,8,1,0,27,11,0,0,1,0
2015-05-03,0,Sun,CIN,ATL,cuetj001,tehej001,0,5,31,9,3,0,2,5,1,0,0,1,0,2,0,0,3,0,4,4,0,0,0,0,27,8,0,0,1,0
2015-05-04,0,Mon,PHI,ATL,haraa001,wooda002,5,2,34,8,0,1,0,2,0,0,0,4,0,5,0,0,1,0,9,6,5,5,1,0,27,13,0,0,2,0
2015-05-05,0,Tue,PHI,ATL,billc001,mills001,0,9,33,12,0,0,2,8,1,0,1,5,0,5,0,0,3,0,7,1,0,0,0,0,27,9,1,0,1,0
2015-05-06,0,Wed,PHI,ATL,willj003,foltm001,5,7,32,12,4,0,1,7,0,1,0,2,0,6,2,0,3,0,4,5,5,5,0,0,27,8,0,0,1,0
2015-05-08,0,Fri,ATL,WAS,stule002,gonzg003,2,9,30,6,3,0,0,2,0,1,1,2,0,9,0,0,1,0,5,4,9,9,1,0,24,10,0,0,0,0
2015-05-09,0,Sat,ATL,WAS,tehej001,fistd001,6,8,36,9,4,0,0,6,0,0,1,1,0,4,0,0,0,0,5,5,8,8,0,0,25,8,1,0,3,0
2015-05-10,0,Sun,ATL,WAS,wooda002,zimmj003,4,5,38,12,1,0,0,4,0,0,0,3,0,3,0,0,0,0,10,3,5,5,0,0,24,10,0,0,1,0
2015-05-11,0,Mon,ATL,CIN,mills001,leakm001,2,1,38,11,1,0,1,1,0,0,0,2,0,7,1,0,0,0,11,3,1,1,0,0,27,10,1,0,0,0
2015-05-12,0,Tue,ATL,CIN,foltm001,desca001,3,4,34,9,4,0,0,3,1,1,0,6,1,6,1,0,0,0,12,4,3,3,0,0,25,5,1,0,1,0
2015-05-13,0,Wed,ATL,CIN,stule002,igler001,1,5,29,2,0,1,0,1,0,0,0,3,0,6,0,0,0,0,4,3,5,5,0,0,24,10,0,0,2,0
2015-05-15,0,Fri,ATL,MIA,tehej001,pheld001,5,3,39,13,4,0,0,4,0,0,0,0,0,10,2,0,0,0,7,6,2,2,1,0,27,13,1,0,0,0
2015-05-16,0,Sat,ATL,MIA,wooda002,latom001,5,3,38,13,1,0,1,5,0,0,0,0,0,6,0,0,1,0,6,3,2,2,0,0,27,13,2,0,0,0
2015-05-17,0,Sun,ATL,MIA,mills001,alvah001,6,0,35,10,3,0,0,6,1,1,0,2,0,4,1,0,0,0,6,1,0,0,0,0,27,12,0,0,1,0
2015-05-19,0,Tue,TBA,ATL,ramie004,foltm001,5,3,31,4,2,0,0,3,0,0,2,3,0,9,0,0,0,0,6,4,5,5,1,0,27,7,0,0,0,0
2015-05-20,0,Wed,TBA,ATL,odorj001,perew001,1,2,29,5,3,0,0,2,0,0,0,3,0,5,1,0,0,0,6,5,1,1,0,0,27,11,0,0,1,0
2015-05-21,0,Thu,MIL,ATL,garzm001,tehej001,1,10,36,11,3,0,0,8,0,0,1,3,0,4,1,0,0,0,6,3,1,1,0,0,27,6,0,0,1,0
2015-05-22,0,Fri,MIL,ATL,peraw001,stule002,11,0,31,3,0,0,0,0,0,0,1,2,0,9,1,0,0,0,7,5,11,11,0,0,27,10,1,0,1,0
2015-05-23,0,Sat,MIL,ATL,fierm001,mills001,2,3,41,11,5,0,0,3,0,0,1,4,1,12,0,2,0,0,11,6,2,2,1,1,33,14,0,0,2,0
2015-05-24,0,Sun,MIL,ATL,nelsj004,foltm001,1,2,27,6,1,0,0,2,0,0,0,6,1,8,0,1,2,0,7,3,1,1,0,0,27,4,0,0,0,0
2015-05-25,0,Mon,ATL,LAN,perew001,andeb004,3,6,34,9,1,0,0,3,0,0,0,2,1,4,0,1,1,0,6,4,6,6,0,0,24,8,0,0,1,0
2015-05-26,0,Tue,ATL,LAN,tehej001,kersc001,0,8,33,5,1,0,0,0,0,0,0,1,0,11,0,0,0,0,7,2,8,8,0,0,24,16,0,0,3,0
2015-05-27,0,Wed,ATL,LAN,wooda002,greiz001,3,2,31,5,1,0,1,2,0,0,0,5,1,12,1,0,1,0,6,3,2,2,0,0,27,10,0,0,1,0
2015-05-28,0,Thu,ATL,SFN,mills001,hestc001,0,7,31,4,0,0,0,0,0,0,0,1,0,9,1,0,0,0,5,3,7,7,1,0,24,10,0,0,0,0
2015-05-29,0,Fri,ATL,SFN,foltm001,hudst001,2,4,32,6,0,0,1,2,0,0,0,2,0,6,0,0,1,0,5,3,4,4,2,0,24,10,0,0,1,0
2015-05-30,0,Sat,ATL,SFN,perew001,linct001,8,0,40,14,2,1,1,8,0,0,0,2,0,10,3,0,1,0,7,4,0,0,0,0,27,12,1,0,1,0
2015-05-31,0,Sun,ATL,SFN,tehej001,bumgm001,7,5,37,9,0,1,2,7,0,0,0,2,0,6,0,0,0,0,5,4,5,5,1,0,27,11,1,0,0,0
2015-06-01,0,Mon,ATL,ARI,wooda002,brada001,8,1,38,13,3,0,1,8,1,0,2,3,1,7,1,0,2,0,9,2,1,1,0,0,27,5,0,0,2,0
2015-06-02,0,Tue,ATL,ARI,mills001,collj001,6,7,36,10,4,0,0,6,0,0,0,2,0,5,1,0,1,0,5,5,7,7,1,0,24,12,0,0,1,0
2015-06-03,0,Wed,ATL,ARI,foltm001,delar003,8,9,38,13,2,0,3,8,1,0,1,2,0,12,0,1,0,0,7,5,7,7,0,1,24,5,1,1,0,0
2015-06-05,0,Fri,PIT,ATL,mortc002,perew001,10,8,40,14,2,0,0,7,0,0,0,5,0,6,1,0,4,0,10,5,9,9,0,0,27,9,1,0,2,0
2015-06-06,0,Sat,PIT,ATL,lockj001,tehej001,4,5,31,9,0,0,2,5,1,1,0,2,0,5,2,0,0,0,6,3,4,4,0,0,27,13,0,0,0,0
2015-06-07,0,Sun,PIT,ATL,coleg001,wooda002,3,0,32,6,1,0,0,0,0,0,2,4,0,10,0,1,0,0,11,4,3,3,0,0,27,9,0,0,1,0
2015-06-08,0,Mon,SDN,ATL,kenni001,mills001,5,3,41,11,2,0,0,3,1,0,0,2,0,9,1,0,1,0,8,6,4,4,0,0,33,15,2,0,0,0
2015-06-09,0,Tue,SDN,ATL,shiej002,foltm001,5,6,36,11,2,0,1,6,0,0,0,2,0,7,0,0,0,0,8,6,5,5,1,0,27,11,2,1,1,0
2015-06-10,0,Wed,SDN,ATL,rosst001,perew001,1,4,33,13,0,0,0,3,0,0,0,3,0,5,0,1,3,0,8,3,0,0,0,0,27,10,1,0,1,0
2015-06-11,0,Thu,SDN,ATL,casha001,tehej001,6,4,37,7,2,0,1,4,1,1,0,6,1,5,0,1,2,0,8,7,5,5,0,0,33,11,1,1,2,0
2015-06-12,0,Fri,ATL,NYN,wooda002,colob001,3,5,32,9,2,0,0,2,1,0,1,6,2,3,0,0,3,0,10,3,4,4,0,0,24,8,1,0,2,0
2015-06-13,0,Sat,ATL,NYN,mills001,degrj001,5,3,44,13,2,0,1,5,3,0,0,3,1,12,1,0,1,0,12,7,3,3,1,0,33,13,1,0,1,0
2015-06-14,0,Sun,ATL,NYN,foltm001,gee-d001,8,10,40,14,3,0,1,8,0,0,0,3,1,7,1,0,1,0,8,5,9,9,0,0,24,9,0,1,0,0
2015-06-15,0,Mon,ATL,BOS,perew001,porcr001,4,2,34,9,0,0,0,3,0,0,1,1,0,7,1,0,2,0,5,5,1,1,1,0,27,12,1,0,3,0
2015-06-16,0,Tue,ATL,BOS,tehej001,milew001,4,9,37,10,4,0,0,4,0,0,0,2,0,11,0,0,0,0,8,3,9,9,0,0,24,12,0,0,3,0
2015-06-17,0,Wed,BOS,ATL,kellj001,wooda002,2,5,33,10,2,0,0,5,1,0,0,6,0,6,1,0,0,0,11,4,1,1,0,0,27,12,1,0,1,0
2015-06-18,0,Thu,BOS,ATL,buchc001,mills001,5,2,33,6,1,0,0,0,0,0,1,2,0,7,0,0,1,0,7,5,2,2,0,0,27,10,1,0,1,0
2015-06-19,0,Fri,NYN,ATL,degrj001,wislm001,1,2,29,6,2,0,0,2,1,0,0,2,1,4,0,1,0,0,6,2,1,1,0,0,27,11,1,0,1,0
