Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,SFN,ARI,bumgm001,collj001,5,4,34,9,1,1,0,4,0,0,2,3,0,6,0,0,2,0,8,5,4,4,0,0,27,10,1,0,1,0,ARI201504060
2015-04-07,0,Tue,SFN,ARI,voger001,delar003,6,7,31,8,1,1,2,7,0,0,0,5,0,7,1,0,1,0,5,5,6,6,0,0,27,12,0,0,0,0,ARI201504070
2015-04-08,0,Wed,SFN,ARI,hestc001,hellj001,5,2,32,5,2,0,0,1,0,0,1,2,0,7,0,0,0,0,6,5,5,5,0,0,27,12,1,0,0,0,ARI201504080
2015-04-10,0,Fri,LAN,ARI,andeb004,andec001,3,4,35,7,0,0,1,4,0,0,0,3,0,10,1,0,0,0,6,4,3,3,0,0,30,16,0,0,2,0,ARI201504100
2015-04-11,0,Sat,LAN,ARI,kersc001,brada001,0,6,32,10,0,0,1,6,0,0,0,3,0,7,0,2,1,0,5,3,0,0,0,0,27,14,0,0,1,0,ARI201504110
2015-04-12,0,Sun,LAN,ARI,greiz001,collj001,7,4,36,10,3,0,0,4,1,0,0,1,0,11,0,1,1,0,7,3,7,7,0,0,27,15,1,0,1,0,ARI201504120
2015-04-13,0,Mon,ARI,SDN,delar003,casha001,8,4,39,12,3,1,0,7,1,0,0,4,0,11,2,0,0,0,9,4,4,4,0,0,27,10,0,0,0,0,SDN201504130
2015-04-14,0,Tue,ARI,SDN,hellj001,despo001,1,5,28,3,2,0,0,1,0,0,1,3,0,4,0,0,2,0,4,3,5,5,1,0,24,9,0,0,0,0,SDN201504140
2015-04-15,0,Wed,ARI,SDN,andec001,morrb001,2,3,33,9,1,0,1,2,0,0,0,1,0,8,1,2,1,0,5,2,3,3,0,0,24,7,0,0,2,0,SDN201504150
2015-04-16,0,Thu,ARI,SFN,brada001,bumgm001,7,6,47,11,2,0,3,7,0,0,1,3,1,8,1,0,0,0,8,8,6,6,0,0,36,20,1,0,0,0,SFN201504160
2015-04-17,0,Fri,ARI,SFN,collj001,peavj001,9,0,44,18,3,1,0,8,0,1,0,6,0,8,2,0,0,0,15,1,0,0,0,0,27,9,0,0,1,0,SFN201504170
2015-04-18,0,Sat,ARI,SFN,delar003,hestc001,1,4,32,6,1,0,1,1,0,0,1,1,0,8,0,0,1,0,6,3,3,3,1,0,24,7,1,1,0,0,SFN201504180
2015-04-19,0,Sun,ARI,SFN,hellj001,hudst001,5,1,35,8,1,0,1,5,0,0,1,2,0,7,1,0,0,0,6,3,1,1,0,0,27,17,0,0,3,0,SFN201504190
2015-04-21,0,Tue,TEX,ARI,martn002,andec001,7,1,36,7,0,0,0,1,0,0,0,2,0,8,0,0,0,0,10,4,6,6,0,0,27,11,3,0,0,0,ARI201504210
2015-04-22,0,Wed,TEX,ARI,gally001,brada001,5,8,32,8,1,1,1,7,0,2,0,3,0,8,1,0,0,0,5,4,5,5,0,0,27,13,0,0,4,0,ARI201504220
2015-04-24,0,Fri,PIT,ARI,coleg001,collj001,4,1,34,7,1,0,0,1,0,0,0,2,0,8,1,0,0,0,8,4,4,4,0,0,27,13,0,0,0,0,ARI201504240
2015-04-25,0,Sat,PIT,ARI,burna001,delar003,2,1,33,8,0,0,0,1,0,0,0,3,1,5,3,1,1,0,8,3,2,2,0,0,27,7,1,0,0,0,ARI201504250
2015-04-26,0,Sun,PIT,ARI,lirif001,hellj001,8,0,28,3,0,0,0,0,0,0,0,7,0,9,2,0,1,0,8,5,8,8,1,0,27,8,0,0,0,0,ARI201504260
2015-04-27,0,Mon,COL,ARI,matzt001,andec001,5,4,35,9,2,0,0,3,1,0,0,4,0,6,1,0,1,0,9,5,5,5,0,0,27,16,0,0,3,0,ARI201504270
2015-04-28,0,Tue,COL,ARI,kendk001,brada001,5,12,37,15,5,1,2,12,0,0,0,3,0,1,0,0,0,0,4,6,5,5,0,0,27,8,0,0,0,0,ARI201504280
2015-04-29,0,Wed,COL,ARI,lylej001,collj001,1,9,34,13,1,0,1,8,1,0,0,5,0,5,2,0,2,0,7,2,0,0,0,0,27,9,1,0,1,0,ARI201504290
2015-05-01,0,Fri,ARI,LAN,delar003,friac001,0,8,32,5,1,0,0,0,0,0,0,1,0,5,0,0,1,0,6,3,8,8,0,0,24,3,0,0,0,0,LAN201505010
2015-05-02,0,Sat,ARI,LAN,hellj001,bakes002,4,6,34,9,2,0,2,4,0,0,0,2,0,5,0,0,0,0,5,5,6,6,0,0,24,9,0,0,0,0,LAN201505020
2015-05-03,0,Sun,ARI,LAN,andec001,andeb004,0,1,43,9,1,0,0,0,0,0,0,1,1,13,0,1,3,0,5,6,1,1,1,0,36,14,1,0,1,0,LAN201505030
2015-05-06,1,Wed,ARI,COL,collj001,matzt001,13,7,41,19,4,0,2,13,0,1,0,8,0,7,2,0,4,0,10,4,7,7,0,0,27,6,0,0,1,0,COL201505061
2015-05-06,2,Wed,ARI,COL,ray-r002,lylej001,5,1,37,12,3,0,1,5,1,0,0,1,1,10,3,0,1,0,7,3,1,1,0,0,27,7,0,0,1,0,COL201505062
2015-05-07,0,Thu,SDN,ARI,despo001,delar003,0,11,41,17,8,0,2,10,0,0,0,1,0,5,0,0,0,0,7,3,0,0,0,0,27,9,0,0,0,0,ARI201505070
2015-05-08,0,Fri,SDN,ARI,shiej002,hellj001,6,5,33,7,0,0,4,5,0,0,0,4,0,9,1,1,0,0,5,6,6,6,1,0,27,9,0,0,1,0,ARI201505080
2015-05-09,0,Sat,SDN,ARI,rosst001,andec001,6,4,43,9,1,1,0,4,0,0,0,5,1,13,2,1,0,0,8,7,6,6,3,0,36,9,1,1,0,0,ARI201505090
2015-05-10,0,Sun,SDN,ARI,casha001,hudsd001,1,2,27,5,1,0,2,2,1,0,0,1,0,6,0,0,1,0,3,5,1,1,0,0,27,13,0,0,1,0,ARI201505100
2015-05-11,0,Mon,WAS,ARI,schem001,collj001,11,1,32,6,1,0,1,1,0,0,0,2,0,7,0,0,1,0,6,3,11,11,0,0,27,6,0,0,0,0,ARI201505110
2015-05-12,0,Tue,WAS,ARI,stras001,delar003,6,14,36,16,2,1,3,13,1,3,0,3,1,6,0,0,0,0,5,3,6,6,0,0,27,17,0,0,3,0,ARI201505120
2015-05-13,0,Wed,WAS,ARI,gonzg003,hellj001,9,6,40,14,2,1,0,6,0,0,0,5,1,10,0,1,2,0,12,5,9,9,0,0,27,14,0,0,0,0,ARI201505130
2015-05-15,0,Fri,ARI,PHI,andec001,billc001,3,4,37,10,2,0,0,3,0,0,0,1,0,6,0,0,0,0,8,5,4,4,1,0,24,9,1,0,0,0,PHI201505150
2015-05-16,0,Sat,ARI,PHI,brada001,willj003,5,7,37,10,1,0,2,5,0,0,0,0,0,8,0,0,1,0,5,6,7,7,0,0,24,6,2,1,1,0,PHI201505160
2015-05-17,0,Sun,ARI,PHI,collj001,osuls001,0,6,34,8,1,0,0,0,0,0,0,3,1,6,1,0,1,0,10,3,6,6,0,0,24,6,1,0,1,0,PHI201505170
2015-05-18,0,Mon,ARI,MIA,delar003,hared001,3,2,45,9,3,0,0,3,1,0,0,1,0,12,1,0,2,0,5,4,2,2,0,0,39,20,0,0,1,0,MIA201505180
2015-05-19,0,Tue,ARI,MIA,hellj001,koeht001,4,2,34,9,1,0,1,3,1,0,0,2,0,4,0,1,1,0,6,3,2,2,0,0,27,7,0,0,0,0,MIA201505190
2015-05-20,0,Wed,ARI,MIA,andec001,pheld001,6,1,37,11,1,0,0,5,1,1,0,3,0,9,7,0,0,0,9,2,1,1,0,0,27,16,0,0,2,0,MIA201505200
2015-05-21,0,Thu,ARI,MIA,brada001,latom001,7,6,35,11,4,0,0,7,2,2,0,3,0,9,1,0,0,0,8,5,6,6,0,0,27,14,1,1,1,0,MIA201505210
