Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-05-08,0,Fri,MIA,SFN,cosaj001,linct001,0,6,33,12,2,0,1,6,1,0,1,6,0,5,0,0,2,0,11,2,0,0,2,0,27,8,0,0,0,0,SFN201505080
2015-05-09,0,Sat,MIA,SFN,pheld001,bumgm001,6,2,36,10,3,0,0,2,0,0,0,3,0,7,0,1,0,0,10,6,6,6,1,0,27,10,0,0,0,0,SFN201505090
2015-05-10,0,Sun,MIA,SFN,latom001,voger001,2,3,35,10,2,0,0,3,0,0,0,3,1,7,1,1,0,0,9,4,2,2,1,0,27,11,0,0,0,0,SFN201505100
2015-05-12,0,Tue,SFN,HOU,hestc001,mchuc001,8,1,38,12,2,0,0,7,0,0,1,4,0,8,0,1,0,0,8,1,1,1,1,0,27,8,0,0,0,0,HOU201505120
2015-05-13,0,Wed,SFN,HOU,hudst001,oberb001,3,4,36,11,1,1,1,3,0,0,1,3,0,8,1,1,2,0,10,5,4,4,0,0,24,8,1,0,2,0,HOU201505130
2015-05-14,0,Thu,SFN,CIN,linct001,cuetj001,3,4,31,7,1,1,0,2,0,0,0,4,0,11,0,1,1,0,5,5,4,4,1,0,24,8,0,0,2,0,CIN201505140
2015-05-15,0,Fri,SFN,CIN,bumgm001,marqj001,10,2,39,13,3,0,2,10,0,0,0,4,0,5,2,0,1,0,6,2,2,2,0,0,27,8,0,0,0,0,CIN201505150
2015-05-16,0,Sat,SFN,CIN,voger001,leakm001,11,2,41,16,2,1,3,11,1,0,0,1,0,8,0,0,1,0,5,3,2,2,0,0,27,8,0,0,0,0,CIN201505160
2015-05-17,0,Sun,SFN,CIN,hestc001,desca001,9,8,43,16,3,0,2,9,0,0,1,4,0,9,1,0,0,0,12,7,7,7,0,0,27,8,2,0,0,0,CIN201505170
2015-05-19,0,Tue,LAN,SFN,friac001,hudst001,0,2,32,8,1,0,0,1,0,0,0,3,0,3,1,0,1,0,9,5,0,0,1,0,27,15,1,1,0,0,SFN201505190
2015-05-20,0,Wed,LAN,SFN,andeb004,linct001,0,4,32,8,1,0,1,4,0,0,0,3,0,9,0,0,0,0,7,4,0,0,1,0,27,8,0,0,0,0,SFN201505200
2015-05-21,0,Thu,LAN,SFN,kersc001,bumgm001,0,4,31,9,1,0,1,4,0,0,1,2,0,7,0,0,1,0,6,5,0,0,0,0,27,12,1,0,2,0,SFN201505210
2015-05-22,0,Fri,SFN,COL,voger001,kendk001,11,8,40,14,4,0,2,11,1,0,0,4,0,6,0,0,0,0,7,6,8,8,0,0,27,8,1,0,2,0,COL201505220
2015-05-23,2,Sat,SFN,COL,petiy001,haled001,3,5,34,10,2,0,0,1,1,0,0,1,0,3,1,0,0,0,6,3,5,5,0,0,24,10,0,0,0,0,COL201505232
2015-05-23,1,Sat,SFN,COL,hestc001,lylej001,10,8,40,14,3,1,0,9,1,0,1,0,0,6,0,0,1,0,5,5,8,8,1,0,27,14,1,0,1,0,COL201505231
2015-05-24,0,Sun,SFN,COL,hudst001,bettc001,2,11,32,6,2,0,0,2,0,0,0,2,0,8,0,0,1,0,5,4,10,10,0,0,24,10,1,0,0,0,COL201505240
2015-05-25,0,Mon,SFN,MIL,linct001,lohsk001,8,4,38,13,1,0,1,7,0,0,0,5,0,12,2,0,2,0,8,3,4,4,0,0,27,11,0,0,0,0,MIL201505250
2015-05-26,0,Tue,SFN,MIL,bumgm001,garzm001,6,3,35,10,3,0,3,6,1,0,0,3,0,10,0,1,0,0,6,4,3,3,0,0,27,6,0,0,0,0,MIL201505260
2015-05-27,0,Wed,SFN,MIL,voger001,fierm001,3,1,35,9,2,0,1,3,0,1,1,0,0,11,0,0,0,0,7,4,1,1,0,0,27,7,0,0,1,0,MIL201505270
2015-05-28,0,Thu,ATL,SFN,mills001,hestc001,0,7,35,12,4,1,1,6,0,0,0,1,0,2,0,1,0,0,5,4,0,0,0,0,27,14,0,0,0,0,SFN201505280
2015-05-29,0,Fri,ATL,SFN,foltm001,hudst001,2,4,32,7,1,0,1,4,0,0,1,3,1,8,2,0,1,0,8,3,2,2,0,0,27,12,0,0,1,0,SFN201505290
2015-05-30,0,Sat,ATL,SFN,perew001,linct001,8,0,34,8,0,0,0,0,0,0,0,4,0,5,0,0,1,0,11,4,8,8,0,0,27,11,1,0,1,0,SFN201505300
2015-05-31,0,Sun,ATL,SFN,tehej001,bumgm001,7,5,33,7,2,0,3,5,1,0,0,5,0,3,0,0,0,0,7,6,6,6,0,0,27,15,1,1,0,0,SFN201505310
2015-06-01,0,Mon,PIT,SFN,coleg001,voger001,4,3,32,6,2,0,0,3,0,0,0,2,0,10,1,0,2,0,4,3,3,3,0,0,27,9,1,0,0,0,SFN201506010
2015-06-02,0,Tue,PIT,SFN,burna001,hestc001,7,4,38,11,3,0,1,4,0,0,1,3,0,8,0,0,0,0,11,5,7,7,1,0,27,6,0,0,1,0,SFN201506020
2015-06-03,0,Wed,PIT,SFN,lirif001,hudst001,5,2,36,9,1,0,0,2,0,0,0,1,0,6,0,1,0,0,8,4,5,5,0,0,27,9,1,0,1,0,SFN201506030
2015-06-05,0,Fri,SFN,PHI,linct001,willj003,5,4,37,12,2,0,3,5,0,0,1,1,0,7,1,1,1,0,7,5,4,4,0,0,27,9,0,0,2,0,PHI201506050
2015-06-06,0,Sat,SFN,PHI,bumgm001,gonzs001,7,5,39,12,1,0,0,6,0,1,2,3,0,10,0,0,0,0,11,2,5,5,0,0,27,6,0,0,1,0,PHI201506060
2015-06-07,0,Sun,SFN,PHI,voger001,osuls001,4,6,38,10,4,0,0,4,0,0,0,4,2,4,2,0,1,0,11,4,6,6,0,0,24,10,0,0,1,0,PHI201506070
2015-06-09,0,Tue,SFN,NYN,hestc001,syndn001,5,0,37,13,1,0,2,5,0,0,1,2,0,3,0,0,2,0,8,1,0,0,0,0,27,13,0,0,1,0,NYN201506090
2015-06-10,0,Wed,SFN,NYN,hudst001,harvm001,8,5,39,14,3,0,3,8,0,0,0,3,0,5,0,0,1,0,7,6,5,5,0,0,27,12,0,0,2,0,NYN201506100
2015-06-11,0,Thu,SFN,NYN,linct001,niesj001,4,5,31,6,0,0,1,3,1,0,1,3,0,4,0,0,2,0,5,6,4,4,0,0,26,6,1,1,1,0,NYN201506110
2015-06-12,0,Fri,ARI,SFN,andec001,bumgm001,1,0,28,2,0,0,0,0,0,0,2,1,0,3,1,0,0,0,4,4,1,1,0,0,27,13,0,0,2,0,SFN201506120
2015-06-13,0,Sat,ARI,SFN,websa001,voger001,4,2,30,4,3,0,0,2,0,1,0,3,0,4,0,0,0,0,5,5,4,4,0,0,27,9,0,0,1,0,SFN201506130
2015-06-14,0,Sun,ARI,SFN,delar003,hestc001,4,0,30,8,1,0,0,0,0,0,0,3,0,7,0,0,5,0,6,4,2,2,1,0,27,10,3,0,1,0,SFN201506140
2015-06-15,0,Mon,SEA,SFN,walkt004,hudst001,5,1,34,7,1,0,0,1,0,0,0,0,0,9,0,0,0,0,6,4,5,5,1,0,27,13,1,0,1,0,SFN201506150
2015-06-16,0,Tue,SEA,SFN,happj001,linct001,2,6,31,9,2,0,1,6,0,0,0,4,0,6,0,0,2,0,5,5,2,2,0,0,27,11,1,0,1,0,SFN201506160
2015-06-17,0,Wed,SFN,SEA,bumgm001,hernf002,0,2,32,4,0,0,0,0,0,0,0,2,0,7,0,0,0,0,7,1,2,2,0,0,24,6,1,0,0,0,SEA201506170
2015-06-18,0,Thu,SFN,SEA,voger001,montm002,7,0,36,10,1,1,0,7,0,0,0,4,0,2,0,1,0,0,6,4,0,0,0,0,27,8,0,0,2,0,SEA201506180
2015-06-19,0,Fri,SFN,LAN,hestc001,bolsm001,9,5,37,12,2,0,1,9,0,0,0,6,0,11,1,0,2,0,7,5,5,5,0,0,27,10,0,0,2,0,LAN201506190
2015-06-20,0,Sat,SFN,LAN,hudst001,friac001,6,2,32,8,2,0,2,6,0,2,2,2,0,5,0,0,1,0,5,3,2,2,0,0,27,14,0,0,1,0,LAN201506200
2015-06-21,0,Sun,SFN,LAN,linct001,andeb004,2,10,31,8,4,0,0,2,0,0,0,3,0,5,0,0,2,0,5,4,10,10,1,0,24,7,1,0,0,0,LAN201506210
2015-06-23,0,Tue,SDN,SFN,despo001,bumgm001,3,2,38,7,2,0,0,2,0,0,0,6,0,10,1,1,0,0,9,6,3,3,0,0,33,11,0,0,1,0,SFN201506230
2015-06-24,0,Wed,SDN,SFN,kenni001,voger001,0,6,27,6,1,1,1,6,2,1,0,4,1,9,0,0,1,0,4,4,0,0,0,0,27,15,0,0,0,0,SFN201506240
2015-06-25,0,Thu,SDN,SFN,shiej002,hestc001,8,13,41,19,4,4,0,13,0,1,0,2,0,13,1,1,0,0,7,5,8,8,0,0,27,8,0,1,2,0,SFN201506250
2015-06-26,0,Fri,COL,SFN,bettc001,hudst001,8,6,35,9,1,0,1,5,0,0,0,5,0,7,0,0,1,0,7,5,8,8,0,0,27,13,0,1,1,0,SFN201506260
2015-06-27,0,Sat,COL,SFN,rusic001,linct001,5,7,35,12,4,0,1,7,0,0,0,3,2,5,0,0,2,0,7,5,5,5,1,0,27,12,0,0,0,0,SFN201506270
2015-06-28,0,Sun,COL,SFN,kendk001,bumgm001,3,6,33,10,2,1,3,6,0,0,0,0,0,6,0,0,1,0,3,4,3,3,0,0,27,13,0,0,3,0,SFN201506280
2015-06-30,0,Tue,SFN,MIA,voger001,latom001,3,5,32,6,1,0,1,2,1,0,0,2,0,10,0,0,1,0,5,4,5,5,0,0,24,11,0,0,0,0,MIA201506300
2015-07-01,0,Wed,SFN,MIA,hestc001,hared001,5,6,37,14,3,0,1,3,1,1,0,0,0,3,2,1,1,0,7,4,6,6,0,1,24,15,0,0,5,0,MIA201507010
2015-07-02,0,Thu,SFN,MIA,cainm001,fernj003,4,5,35,9,1,0,2,4,0,1,1,1,0,12,1,0,0,0,7,4,5,5,0,0,24,9,2,0,1,0,MIA201507020
2015-07-03,0,Fri,SFN,WAS,peavj001,gonzg003,1,2,30,5,0,0,1,1,1,0,0,0,0,7,0,0,1,0,3,3,2,2,0,0,24,5,0,0,1,0,WAS201507030
2015-07-04,0,Sat,SFN,WAS,bumgm001,stras001,3,9,31,7,4,0,0,3,0,1,1,2,0,7,0,0,0,0,5,3,9,9,0,0,24,9,0,0,0,0,WAS201507040
2015-07-05,0,Sun,SFN,WAS,voger001,zimmj003,1,3,31,4,0,0,1,1,0,0,0,2,0,9,1,0,0,0,5,5,3,3,1,0,24,8,1,0,1,0,WAS201507050
2015-07-06,0,Mon,NYN,SFN,niesj001,hestc001,3,0,29,3,0,0,0,0,1,0,0,2,0,5,0,0,0,0,5,5,3,3,0,0,27,16,3,0,1,0,SFN201507060
2015-07-07,0,Tue,NYN,SFN,colob001,cainm001,0,3,33,10,0,0,0,3,0,1,0,1,0,8,0,0,1,0,8,5,0,0,0,0,27,9,0,0,2,0,SFN201507070
2015-07-08,0,Wed,NYN,SFN,degrj001,peavj001,4,1,32,5,1,0,0,1,1,0,0,1,0,10,0,0,0,0,6,3,3,3,0,0,27,6,1,0,0,0,SFN201507080
2015-07-10,0,Fri,PHI,SFN,hamec001,bumgm001,2,15,45,22,5,1,2,14,0,0,0,4,0,10,0,0,1,0,10,4,2,2,0,0,27,12,0,0,1,0,SFN201507100
2015-07-11,0,Sat,PHI,SFN,buchd001,voger001,5,8,38,16,3,2,0,7,1,0,0,2,0,5,0,0,1,0,9,7,5,5,0,0,27,9,1,0,1,0,SFN201507110
2015-07-12,0,Sun,PHI,SFN,billc001,hestc001,2,4,32,11,0,0,1,4,0,0,0,0,0,7,0,0,3,0,4,3,2,2,0,0,27,9,0,0,3,0,SFN201507120
2015-07-17,0,Fri,SFN,ARI,cainm001,ray-r002,6,5,51,16,5,0,1,4,1,1,0,4,1,16,0,0,0,0,15,10,5,5,1,0,36,12,0,0,1,0,ARI201507170
2015-07-18,0,Sat,SFN,ARI,peavj001,andec001,8,4,38,14,0,1,0,8,0,1,1,5,0,7,0,0,1,0,10,4,4,4,0,1,27,7,0,0,1,0,ARI201507180
2015-07-19,0,Sun,SFN,ARI,bumgm001,corbp001,2,1,31,5,2,0,1,2,1,0,1,2,0,8,0,0,0,0,6,5,1,1,0,0,27,9,0,0,0,0,ARI201507190
2015-07-20,0,Mon,SFN,SDN,hudst001,kenni001,2,4,34,7,0,0,1,2,0,0,1,1,0,8,0,1,0,0,7,3,4,4,0,0,24,14,0,0,1,0,SDN201507200
2015-07-21,0,Tue,SFN,SDN,hestc001,despo001,9,3,34,9,1,0,3,8,0,0,0,3,1,6,0,0,2,0,1,3,0,0,0,0,27,13,1,0,2,0,SDN201507210
2015-07-22,0,Wed,SFN,SDN,cainm001,shiej002,7,1,37,11,3,0,2,7,0,0,0,6,1,10,1,0,1,0,9,6,1,1,0,0,27,2,1,0,0,0,SDN201507220
2015-07-24,0,Fri,OAK,SFN,chavj001,peavj001,3,9,38,17,3,0,0,8,1,2,0,2,0,7,1,0,1,0,10,5,3,3,1,0,27,14,0,0,1,0,SFN201507240
2015-07-25,0,Sat,OAK,SFN,bassc001,bumgm001,1,2,28,6,1,0,1,2,0,0,0,1,0,6,0,0,1,0,3,3,1,1,0,0,27,6,0,0,0,0,SFN201507250
2015-07-26,0,Sun,OAK,SFN,gravk001,hudst001,3,4,34,12,2,0,1,4,1,0,0,2,0,4,0,0,2,0,9,5,3,3,1,0,27,11,1,0,0,0,SFN201507260
