Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,CLE,HOU,klubc001,keucd001,0,2,25,3,0,0,0,2,0,1,0,2,0,7,1,0,0,0,2,3,0,0,0,0,27,13,0,0,1,0,HOU201504060
2015-04-08,0,Wed,CLE,HOU,carrc003,felds001,2,0,30,4,1,0,0,0,0,0,0,3,0,13,1,0,1,0,6,4,2,2,0,0,27,10,0,0,0,0,HOU201504080
2015-04-09,0,Thu,CLE,HOU,bauet001,wojca001,5,1,28,1,0,0,1,1,0,0,0,7,0,16,2,0,0,0,7,3,5,5,0,0,27,8,1,0,2,0,HOU201504090
2015-04-10,0,Fri,HOU,TEX,mchuc001,holld003,5,1,34,10,2,0,2,5,1,0,0,2,0,7,1,0,0,0,5,4,1,1,0,0,27,15,0,1,0,0,TEX201504100
2015-04-11,0,Sat,HOU,TEX,carmf001,gally001,2,6,38,11,2,0,1,2,0,0,0,4,0,9,0,0,0,0,13,4,2,2,0,0,24,15,3,0,0,0,TEX201504110
2015-04-12,0,Sun,HOU,TEX,keucd001,lewic001,6,4,50,11,1,1,3,6,0,0,0,3,1,9,3,0,3,0,5,8,4,4,1,0,42,16,0,0,1,0,TEX201504120
2015-04-13,0,Mon,OAK,HOU,kazms001,felds001,8,1,31,5,1,0,1,1,0,0,0,4,0,11,0,0,1,0,7,2,7,7,0,0,27,13,2,0,3,0,HOU201504130
2015-04-14,0,Tue,OAK,HOU,gravk001,peacb001,4,0,33,8,0,0,0,0,0,0,1,4,0,7,0,0,2,0,11,4,4,4,0,0,27,11,0,0,2,0,HOU201504140
2015-04-15,0,Wed,OAK,HOU,pomed001,mchuc001,1,6,30,8,2,1,3,6,0,0,0,2,0,11,1,0,0,0,2,4,1,1,0,0,27,7,0,0,0,0,HOU201504150
2015-04-17,0,Fri,ANA,HOU,weavj003,carmf001,6,3,34,8,1,0,1,3,0,1,0,1,0,5,1,0,1,0,6,4,6,6,0,0,27,14,0,0,1,0,HOU201504170
