Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,NYN,WAS,colob001,schem001,3,1,31,3,0,0,1,1,0,0,0,1,0,10,0,0,0,0,4,4,0,0,0,0,27,6,2,0,0,0
2015-04-08,0,Wed,NYN,WAS,degrj001,zimmj003,1,2,31,7,3,0,1,2,0,0,0,3,2,8,0,0,0,0,8,4,1,1,0,0,27,6,0,0,1,0
2015-04-09,0,Thu,NYN,WAS,harvm001,stras001,6,3,34,7,3,0,0,3,0,0,0,3,0,12,0,1,0,0,7,4,3,3,0,0,27,8,1,0,2,0
2015-04-10,0,Fri,WAS,PHI,gonzg003,willj003,1,4,32,6,1,0,1,1,0,0,0,1,0,9,0,0,0,0,5,4,4,4,0,0,24,17,0,0,2,0
2015-04-11,0,Sat,WAS,PHI,fistd001,hamec001,2,3,36,7,1,0,1,2,0,0,0,4,1,9,1,0,0,0,8,5,3,3,0,0,28,15,1,0,0,0
2015-04-12,0,Sun,WAS,PHI,schem001,osuls001,4,3,37,9,2,0,1,3,0,1,1,4,0,8,0,1,0,0,9,5,3,3,0,0,30,5,1,0,0,0
2015-04-13,0,Mon,WAS,BOS,zimmj003,porcr001,4,9,32,4,0,1,2,4,0,0,0,2,0,9,0,0,1,0,3,4,8,8,2,0,24,13,1,0,3,0
2015-04-14,0,Tue,WAS,BOS,stras001,mastj001,7,8,36,10,1,1,0,7,0,0,2,3,0,11,1,1,0,0,7,4,5,5,0,0,24,13,3,0,1,0
2015-04-15,0,Wed,WAS,BOS,gonzg003,milew001,10,5,38,12,4,1,2,10,0,0,0,6,0,5,0,0,1,0,7,3,4,4,0,0,27,10,1,0,0,0
2015-04-16,0,Thu,PHI,WAS,hamec001,fistd001,2,5,29,6,2,0,2,5,0,0,0,4,1,9,0,0,1,0,4,4,1,1,0,0,27,5,1,0,1,0
2015-04-17,0,Fri,PHI,WAS,osuls001,schem001,2,7,35,10,1,0,2,6,0,0,1,3,1,6,0,0,0,0,8,2,2,2,0,0,27,7,2,0,0,0
2015-04-18,0,Sat,PHI,WAS,haraa001,zimmj003,5,3,35,9,0,0,1,3,0,0,0,3,1,9,0,1,0,0,8,4,3,3,0,0,27,10,1,0,1,0
2015-04-19,0,Sun,PHI,WAS,buchd001,stras001,1,4,33,9,2,0,0,4,0,0,0,5,1,5,0,0,0,0,10,3,1,1,0,0,27,8,0,0,0,0
2015-04-21,0,Tue,SLN,WAS,lynnl001,gonzg003,1,2,35,8,2,0,1,2,1,0,0,6,1,13,0,0,1,0,11,5,1,1,1,0,30,18,1,0,3,0
2015-04-22,0,Wed,SLN,WAS,lackj001,fistd001,7,5,34,8,3,0,0,5,0,1,0,2,0,8,0,1,0,0,5,4,6,6,0,0,27,13,1,0,0,0
2015-04-23,0,Thu,SLN,WAS,wachm001,schem001,4,1,32,6,2,0,0,1,0,0,0,3,0,7,0,0,2,0,7,4,4,4,1,0,27,11,1,0,2,0
2015-04-24,0,Fri,WAS,MIA,zimmj003,latom001,2,3,31,6,2,0,0,2,0,1,0,3,0,5,1,1,0,0,6,4,3,3,0,0,24,8,0,0,1,0
2015-04-25,0,Sat,WAS,MIA,stras001,koeht001,0,8,33,7,0,0,0,0,0,0,0,1,0,7,0,0,1,0,7,3,8,8,0,0,24,12,1,0,3,0
2015-04-26,0,Sun,WAS,MIA,gonzg003,hared001,2,6,30,4,0,0,1,2,1,0,0,3,0,10,0,0,0,0,5,4,6,6,0,0,24,8,0,0,0,0
2015-04-27,0,Mon,WAS,ATL,fistd001,stule002,4,8,30,5,2,1,0,3,2,1,1,5,0,6,0,0,0,0,8,4,5,5,0,0,24,9,4,0,1,0
2015-04-28,0,Tue,WAS,ATL,colea002,tehej001,13,12,40,15,5,1,3,13,0,2,1,4,0,8,0,0,1,0,7,5,7,7,1,0,27,15,1,0,1,0
2015-04-29,0,Wed,WAS,ATL,zimmj003,wooda002,13,4,42,15,2,0,1,12,0,0,0,5,0,11,0,0,0,0,7,3,3,3,0,0,27,14,1,0,2,0
2015-04-30,0,Thu,WAS,NYN,stras001,degrj001,8,2,38,12,3,0,0,8,0,1,0,3,0,8,0,0,0,0,7,4,2,2,0,0,27,5,0,0,0,0
2015-05-01,0,Fri,WAS,NYN,schem001,harvm001,0,4,30,6,2,0,0,0,1,0,0,1,0,5,0,1,2,0,5,3,4,4,0,0,24,7,0,0,0,0
2015-05-02,0,Sat,WAS,NYN,gonzg003,niesj001,1,0,33,9,0,0,0,1,3,0,0,1,0,7,0,0,0,0,9,4,0,0,1,0,27,11,0,0,0,0
2015-05-03,0,Sun,WAS,NYN,fistd001,gee-d001,1,0,34,7,4,0,0,1,0,0,0,6,2,10,0,0,0,0,12,5,0,0,1,0,27,8,0,0,0,0
2015-05-04,0,Mon,MIA,WAS,pheld001,zimmj003,4,6,34,12,1,0,1,6,0,1,0,4,0,5,0,0,1,0,9,4,3,3,0,0,27,11,1,0,0,0
2015-05-05,0,Tue,MIA,WAS,latom001,stras001,2,1,30,3,1,0,0,1,0,0,0,6,0,9,0,0,1,0,8,5,2,2,1,0,27,9,1,0,0,0
2015-05-06,0,Wed,MIA,WAS,koeht001,schem001,5,7,34,12,3,0,3,7,0,1,0,1,1,6,0,0,2,0,5,3,5,5,0,0,27,6,0,0,1,0
2015-05-08,0,Fri,ATL,WAS,stule002,gonzg003,2,9,34,11,0,0,5,9,0,0,0,2,0,8,0,0,0,0,3,3,2,2,0,0,27,10,0,0,2,0
2015-05-09,0,Sat,ATL,WAS,tehej001,fistd001,6,8,36,14,2,0,3,8,0,0,0,4,0,11,1,0,2,0,7,5,6,6,0,0,27,9,0,0,0,0
2015-05-10,0,Sun,ATL,WAS,wooda002,zimmj003,4,5,30,11,3,0,0,5,1,0,0,2,0,7,0,0,1,0,4,4,4,4,0,0,27,12,0,0,1,0
2015-05-11,0,Mon,WAS,ARI,schem001,collj001,11,1,41,15,1,0,2,11,0,1,0,3,0,10,0,0,0,0,7,2,1,1,0,0,27,9,0,0,1,0
2015-05-12,0,Tue,WAS,ARI,stras001,delar003,6,14,35,12,4,0,1,5,1,0,0,3,0,4,0,0,3,0,6,5,13,13,1,0,24,5,1,0,0,0
2015-05-13,0,Wed,WAS,ARI,gonzg003,hellj001,9,6,35,8,1,0,3,9,0,0,1,6,1,5,2,0,0,0,6,5,6,6,0,0,27,14,3,0,2,0
2015-05-14,0,Thu,WAS,SDN,fistd001,rosst001,3,8,33,8,0,0,0,3,2,1,0,4,0,10,2,0,0,0,10,3,8,8,0,0,24,11,0,0,2,0
2015-05-15,0,Fri,WAS,SDN,zimmj003,despo001,10,0,39,16,2,0,1,9,0,1,1,3,1,6,1,0,2,0,7,2,0,0,0,0,27,8,0,0,1,0
2015-05-16,0,Sat,WAS,SDN,schem001,casha001,4,1,34,11,4,0,0,4,0,1,0,3,0,8,0,2,2,0,7,4,1,1,1,0,27,7,0,0,1,0
2015-05-17,0,Sun,WAS,SDN,stras001,kenni001,10,5,33,8,1,1,2,10,0,1,0,6,1,10,1,0,1,0,3,3,5,5,1,0,27,9,0,0,0,0
2015-05-19,0,Tue,NYA,WAS,eovan001,gonzg003,6,8,36,10,1,0,4,8,0,0,0,5,0,12,0,0,3,0,4,6,6,6,0,0,30,14,0,0,0,0
2015-05-20,0,Wed,NYA,WAS,warra001,zimmj003,2,3,28,5,0,0,2,3,1,0,0,5,0,7,1,0,0,0,7,3,2,2,0,0,27,10,0,0,0,0
