Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,BAL,TBA,tillc001,archc001,6,2,34,8,2,0,3,6,0,0,1,2,0,11,0,0,0,0,4,5,2,2,1,0,27,11,0,0,1,0,TBA201504060
2015-04-07,0,Tue,BAL,TBA,chenw001,karnn001,6,5,29,6,1,0,1,6,0,1,1,6,0,5,0,0,3,0,4,4,5,5,0,0,27,7,0,0,0,0,TBA201504070
2015-04-08,0,Wed,BAL,TBA,gonzm003,odorj001,0,2,29,3,1,0,0,0,0,0,1,1,0,13,0,0,1,0,4,5,2,2,1,0,24,14,0,0,2,0,TBA201504080
2015-04-10,0,Fri,TOR,BAL,buehm001,norrb001,12,5,36,13,3,0,2,4,0,0,0,2,0,2,0,0,3,0,6,4,12,12,0,0,27,10,1,0,0,0,BAL201504100
2015-04-11,0,Sat,TOR,BAL,sanca006,jimeu001,1,7,32,9,0,0,3,6,0,0,1,6,2,8,0,0,2,0,8,3,1,1,0,0,27,15,0,0,0,0,BAL201504110
2015-04-12,0,Sun,TOR,BAL,hutcd001,tillc001,10,7,35,8,0,0,2,7,0,0,2,2,0,9,1,0,1,0,5,5,10,10,0,0,27,4,0,0,0,0,BAL201504120
2015-04-13,0,Mon,NYA,BAL,pinem001,chenw001,6,5,35,11,3,0,1,5,0,0,1,2,0,13,1,2,0,0,6,4,6,6,0,0,27,9,0,0,1,0,BAL201504130
2015-04-14,0,Tue,NYA,BAL,sabac001,gonzm003,3,4,29,7,0,1,1,4,0,2,0,1,0,9,0,0,2,0,4,3,2,2,1,0,27,11,1,0,0,0,BAL201504140
2015-04-15,0,Wed,NYA,BAL,eovan001,norrb001,5,7,37,15,1,1,2,7,1,0,0,4,1,11,0,0,0,0,11,4,5,5,1,0,27,5,0,0,1,0,BAL201504150
2015-04-17,0,Fri,BAL,BOS,jimeu001,kellj001,2,3,32,5,1,0,1,1,0,0,0,2,0,8,1,0,1,0,5,5,3,3,1,0,25,13,0,0,2,0,BOS201504170
2015-04-18,0,Sat,BAL,BOS,tillc001,buchc001,4,1,39,13,1,0,1,4,0,0,0,2,0,8,0,0,1,0,10,4,1,1,1,0,27,13,1,0,2,0,BOS201504180
2015-04-19,0,Sun,BAL,BOS,gonzm003,porcr001,8,3,39,15,3,0,2,8,0,1,1,3,0,9,1,0,2,0,9,3,3,3,0,0,27,11,1,0,0,0,BOS201504190
2015-04-20,0,Mon,BAL,BOS,chenw001,mastj001,1,7,24,4,2,1,0,1,0,0,0,3,0,7,1,0,1,0,5,2,2,2,0,0,18,3,3,0,1,0,BOS201504200
2015-04-21,0,Tue,BAL,TOR,norrb001,buehm001,6,13,37,12,4,0,0,4,0,1,0,2,0,5,0,0,0,0,7,4,13,13,1,0,24,7,2,0,0,0,TOR201504210
2015-04-22,0,Wed,BAL,TOR,jimeu001,sanca006,2,4,28,5,1,0,1,2,0,0,0,8,0,6,1,1,2,0,7,3,4,4,0,0,24,8,1,0,1,0,TOR201504220
2015-04-23,0,Thu,BAL,TOR,tillc001,hutcd001,6,7,35,8,1,0,2,6,0,0,1,0,0,9,0,0,0,0,3,4,7,7,0,0,24,7,0,1,0,0,TOR201504230
2015-04-24,0,Fri,BOS,BAL,porcr001,gonzm003,7,5,33,10,1,0,2,5,1,1,0,4,1,10,1,0,2,0,7,5,4,4,0,0,27,9,2,0,2,0,BAL201504240
2015-04-25,0,Sat,BOS,BAL,mastj001,chenw001,4,5,37,11,3,1,2,5,0,2,1,1,0,4,1,0,0,0,8,4,4,4,0,0,30,11,1,0,1,0,BAL201504250
2015-04-26,0,Sun,BOS,BAL,milew001,norrb001,7,18,44,20,4,1,1,17,0,1,0,4,0,5,0,0,0,0,7,2,6,6,0,0,27,10,1,0,0,0,BAL201504260
2015-04-29,0,Wed,CHA,BAL,samaj001,jimeu001,2,8,34,11,4,0,2,8,0,1,0,1,0,7,0,0,1,0,4,3,0,0,0,0,27,12,1,0,2,0,BAL201504290
2015-05-01,0,Fri,TBA,BAL,coloa001,tillc001,2,0,31,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,3,2,2,0,0,27,5,1,0,1,0,BAL201505010
2015-05-02,0,Sat,TBA,BAL,archc001,gonzm003,0,4,30,7,1,0,1,4,0,0,0,4,0,6,0,0,0,0,6,2,0,0,0,0,27,6,0,0,0,0,BAL201505020
2015-05-03,0,Sun,TBA,BAL,karnn001,chenw001,2,4,33,9,1,0,0,4,0,0,0,2,0,8,0,0,0,0,7,4,2,2,0,0,27,8,1,0,1,0,BAL201505030
2015-05-05,0,Tue,BAL,NYN,norrb001,colob001,2,3,34,7,0,0,2,2,0,0,0,0,0,10,0,0,0,0,5,2,3,3,0,0,24,10,0,0,1,0,NYN201505050
2015-05-06,0,Wed,BAL,NYN,jimeu001,degrj001,1,5,36,9,0,0,0,1,0,0,1,1,0,12,2,0,1,0,10,4,5,5,0,0,24,7,0,0,0,0,NYN201505060
2015-05-07,0,Thu,BAL,NYA,tillc001,eovan001,3,4,31,6,2,0,2,3,1,0,0,4,0,6,0,0,0,0,6,3,4,4,0,0,24,9,0,0,1,0,NYA201505070
2015-05-08,0,Fri,BAL,NYA,gonzm003,warra001,4,5,35,10,1,0,0,4,0,0,1,4,0,5,0,1,0,0,9,4,5,5,0,0,24,13,0,0,0,0,NYA201505080
2015-05-09,0,Sat,BAL,NYA,chenw001,whitc001,6,2,35,9,2,1,3,6,0,0,2,2,0,9,0,0,1,0,6,4,1,1,0,0,27,10,2,0,0,0,NYA201505090
2015-05-10,0,Sun,BAL,NYA,norrb001,pinem001,2,6,35,8,3,0,1,2,0,0,0,0,0,18,0,0,0,0,6,3,6,6,0,0,24,12,0,0,1,0,NYA201505100
2015-05-11,0,Mon,TOR,BAL,estrm001,jimeu001,2,5,31,8,0,0,3,5,0,1,1,2,0,9,0,1,0,0,6,3,2,2,0,0,27,9,0,0,2,0,BAL201505110
