Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,ANA,SEA,weavj003,hernf002,1,4,29,4,0,0,1,1,0,0,1,2,0,12,0,0,2,0,4,3,4,4,1,0,24,9,0,0,1,0,SEA201504060
2015-04-07,0,Tue,ANA,SEA,wilsc004,paxtj001,2,0,32,5,2,0,1,2,0,0,0,1,0,8,0,0,1,0,4,2,0,0,0,0,27,14,0,0,0,0,SEA201504070
2015-04-08,0,Wed,ANA,SEA,shoem001,iwakh001,5,3,34,10,2,0,1,4,1,1,1,2,1,7,0,1,0,0,7,5,3,3,0,0,27,5,0,0,0,0,SEA201504080
2015-04-10,0,Fri,KCA,ANA,vargj001,santh001,4,2,33,7,2,0,1,2,0,0,0,2,0,9,0,0,1,0,6,6,4,4,0,0,27,8,2,0,0,0,ANA201504100
2015-04-11,0,Sat,KCA,ANA,guthj001,weavj003,6,4,32,6,1,0,1,4,0,0,0,1,0,3,0,1,0,0,2,5,6,6,0,0,27,10,0,0,1,0,ANA201504110
2015-04-12,0,Sun,KCA,ANA,venty001,wilsc004,9,2,30,5,1,0,1,1,0,0,0,3,0,9,0,1,1,0,4,4,8,8,1,0,27,6,1,0,1,0,ANA201504120
2015-04-13,0,Mon,ANA,TEX,shoem001,detwr001,6,3,38,12,1,0,2,6,0,0,0,5,0,5,1,0,0,0,10,4,3,3,1,0,27,4,1,0,0,0,TEX201504130
2015-04-14,0,Tue,ANA,TEX,rucid001,martn002,2,8,32,7,2,0,0,2,0,1,1,3,0,2,0,0,1,0,8,5,8,8,3,0,24,8,0,0,1,0,TEX201504140
2015-04-15,0,Wed,ANA,TEX,santh001,ranaa001,10,2,39,13,4,0,0,10,1,0,0,5,1,6,2,0,0,0,8,2,2,2,0,0,27,5,0,0,0,0,TEX201504150
2015-04-17,0,Fri,ANA,HOU,weavj003,carmf001,6,3,31,6,0,1,2,6,0,1,0,3,0,9,0,0,1,0,2,6,3,3,0,0,27,11,1,0,1,0,HOU201504170
