Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-05,0,Sun,SLN,CHN,waina001,lestj001,3,0,32,5,3,0,0,0,0,0,0,2,0,12,1,0,0,0,7,6,3,3,0,0,27,8,2,0,0,0,CHN201504050
2015-04-08,0,Wed,SLN,CHN,lynnl001,arrij001,0,2,24,2,0,1,0,2,1,1,1,1,0,11,0,0,0,0,2,5,0,0,0,0,27,7,0,0,0,0,CHN201504080
2015-04-10,0,Fri,CHN,COL,woodt004,matzt001,1,5,30,5,0,0,0,1,0,1,2,4,0,7,1,0,1,0,9,4,5,5,0,0,24,8,1,0,0,0,COL201504100
2015-04-11,0,Sat,CHN,COL,hammj002,kendk001,9,5,36,12,1,2,3,9,0,1,2,5,0,8,0,1,1,0,8,5,5,5,0,0,27,11,1,0,2,0,COL201504110
2015-04-12,0,Sun,CHN,COL,hendk001,lylej001,6,5,33,7,2,0,1,6,0,1,0,4,0,8,3,0,1,0,5,5,5,5,1,0,27,9,0,0,0,0,COL201504120
2015-04-13,0,Mon,CIN,CHN,leakm001,lestj001,6,7,36,10,1,0,3,7,1,0,0,5,1,4,0,0,0,0,7,5,6,6,0,0,30,11,1,1,0,0,CHN201504130
2015-04-14,0,Tue,CIN,CHN,desca001,arrij001,3,2,31,5,0,0,1,2,0,0,0,5,0,9,1,0,1,0,7,3,3,3,0,0,27,14,0,0,0,0,CHN201504140
2015-04-15,0,Wed,CIN,CHN,marqj001,woodt004,0,5,32,11,2,0,1,5,1,1,1,4,1,6,1,1,1,0,10,4,0,0,0,0,27,9,0,0,1,0,CHN201504150
2015-04-17,0,Fri,SDN,CHN,shiej002,hammj002,5,4,34,7,3,0,0,2,1,0,0,3,1,12,1,0,0,0,7,5,5,5,0,0,27,11,1,0,2,0,CHN201504170
2015-04-18,0,Sat,SDN,CHN,rosst001,hendk001,6,7,43,12,1,0,2,6,0,0,0,8,1,12,4,0,1,0,13,6,6,6,1,0,33,13,1,0,0,0,CHN201504180
2015-04-19,0,Sun,SDN,CHN,casha001,lestj001,5,2,35,7,1,0,0,2,0,0,1,2,0,8,1,0,0,0,9,4,5,5,0,0,27,13,0,0,0,0,CHN201504190
2015-04-20,0,Mon,CHN,PIT,arrij001,burna001,5,2,37,14,2,0,0,4,0,0,1,3,0,3,2,0,2,0,9,3,2,2,0,0,27,15,1,0,0,0,PIT201504200
2015-04-21,0,Tue,CHN,PIT,woodt004,lirif001,9,8,40,12,3,0,2,8,0,0,1,4,1,14,0,0,0,0,9,6,8,8,0,0,27,11,0,0,0,0,PIT201504210
2015-04-22,0,Wed,CHN,PIT,hammj002,worlv001,3,4,37,10,2,0,0,3,0,0,0,3,0,8,1,0,0,0,10,4,3,3,0,0,24,7,2,0,0,0,PIT201504220
2015-04-23,0,Thu,CHN,PIT,hendk001,lockj001,4,5,32,8,2,1,0,4,0,0,0,3,0,12,0,2,1,0,4,5,4,4,0,0,24,10,2,0,0,0,PIT201504230
2015-04-24,0,Fri,CHN,CIN,lestj001,leakm001,7,3,42,9,3,0,2,7,0,0,0,3,1,14,2,0,0,0,5,6,3,3,1,0,33,9,0,0,1,0,CIN201504240
2015-04-26,0,Sun,CHN,CIN,arrij001,desca001,5,2,33,6,2,0,1,5,0,0,0,3,1,10,1,0,1,0,4,4,2,2,0,0,27,11,0,0,0,0,CIN201504260
2015-04-27,0,Mon,PIT,CHN,worlv001,hammj002,0,4,32,11,2,0,0,4,0,0,0,2,0,5,1,0,2,0,6,2,0,0,0,0,27,10,1,0,0,0,CHN201504270
