Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,CHA,KCA,samaj001,venty001,1,10,34,13,3,0,2,9,1,0,2,5,1,3,2,0,1,0,8,4,1,1,0,0,27,16,0,0,3,0,KCA201504060
2015-04-08,0,Wed,CHA,KCA,quinj001,duffd001,5,7,37,14,1,0,2,7,0,0,2,2,0,5,2,0,1,0,10,5,5,5,0,0,27,9,0,0,0,0,KCA201504080
2015-04-09,0,Thu,CHA,KCA,dankj001,volqe001,1,4,31,8,3,1,1,4,2,0,0,2,0,2,2,0,0,0,7,2,1,1,0,0,27,11,0,0,1,0,KCA201504090
2015-04-10,0,Fri,KCA,ANA,vargj001,santh001,4,2,35,9,1,0,1,4,1,0,3,2,0,6,0,0,0,0,10,4,2,2,0,0,27,10,0,0,1,0,ANA201504100
2015-04-11,0,Sat,KCA,ANA,guthj001,weavj003,6,4,36,12,1,0,2,6,0,0,2,4,0,8,1,2,1,0,9,3,4,4,0,0,27,11,0,0,0,0,ANA201504110
2015-04-12,0,Sun,KCA,ANA,venty001,wilsc004,9,2,41,14,3,2,1,9,0,1,1,1,1,9,0,0,1,0,8,3,2,2,0,0,27,9,1,0,1,0,ANA201504120
2015-04-13,0,Mon,KCA,MIN,duffd001,may-t001,12,3,38,13,3,0,1,10,0,2,2,4,1,5,0,0,1,0,7,3,3,3,0,0,27,9,0,0,2,0,MIN201504130
2015-04-15,0,Wed,KCA,MIN,volqe001,gibsk002,1,3,34,9,0,0,0,1,0,0,1,0,0,5,0,0,2,0,7,2,3,3,0,0,24,9,1,0,0,0,MIN201504150
2015-04-16,0,Thu,KCA,MIN,vargj001,milot001,5,8,37,10,3,0,1,5,1,0,0,4,0,3,1,0,0,0,10,4,7,7,1,0,24,7,1,0,1,0,MIN201504160
2015-04-17,0,Fri,OAK,KCA,grays001,guthj001,4,6,36,15,1,1,0,6,0,1,0,1,0,5,1,0,2,0,8,4,4,4,0,0,27,11,0,0,1,0,KCA201504170
2015-04-18,0,Sat,OAK,KCA,hahnj001,venty001,5,0,32,7,2,0,0,0,0,0,0,2,0,6,0,0,2,0,7,3,5,5,1,0,27,12,0,0,1,0,KCA201504180
2015-04-19,0,Sun,OAK,KCA,kazms001,duffd001,2,4,31,8,3,0,0,4,0,0,1,2,0,5,1,0,1,0,6,6,2,2,1,0,27,14,0,0,2,0,KCA201504190
2015-04-20,0,Mon,MIN,KCA,gibsk002,volqe001,1,7,29,8,4,1,0,5,1,1,0,4,0,1,0,0,1,0,4,3,1,1,0,0,27,12,1,0,1,0,KCA201504200
2015-04-21,0,Tue,MIN,KCA,milot001,vargj001,5,6,33,10,1,0,2,6,1,0,0,5,0,1,3,0,0,0,9,4,5,5,0,0,27,8,0,0,1,0,KCA201504210
2015-04-22,0,Wed,MIN,KCA,pelfm001,guthj001,3,0,31,6,0,1,0,0,0,0,2,2,0,5,2,0,2,0,8,3,3,3,0,0,27,9,1,0,1,0,KCA201504220
2015-04-23,0,Thu,KCA,CHA,venty001,salec001,3,2,47,13,2,0,0,3,0,0,1,2,1,7,0,1,3,0,8,6,2,2,1,0,39,17,1,0,0,0,CHA201504230
2015-04-24,0,Fri,KCA,CHA,duffd001,quinj001,2,3,32,8,2,0,0,2,0,0,0,1,0,9,0,2,1,0,4,5,2,2,2,0,26,7,2,0,0,0,CHA201504240
2015-04-26,0,Sun,KCA,CHA,volqe001,dankj001,3,5,34,8,3,0,1,3,0,0,1,1,0,13,0,0,0,0,6,4,1,1,1,0,24,12,2,0,1,0,CHA201504260
2015-04-27,0,Mon,KCA,CLE,vargj001,klubc001,6,2,39,13,3,0,0,4,0,0,1,2,1,9,3,1,2,0,9,5,2,2,0,0,27,4,0,0,1,0,CLE201504270
2015-04-28,0,Tue,KCA,CLE,guthj001,bauet001,11,5,41,18,4,0,2,11,0,0,0,4,1,3,0,1,2,0,7,5,5,5,1,0,27,6,0,1,0,0,CLE201504280
2015-04-29,0,Wed,KCA,CLE,venty001,salad001,5,7,36,9,1,0,1,5,0,0,1,0,0,11,0,0,0,0,5,3,7,7,1,0,24,10,1,0,0,0,CLE201504290
2015-04-30,0,Thu,DET,KCA,simoa001,duffd001,1,8,38,14,3,0,1,8,0,0,0,2,0,10,2,0,0,0,8,3,1,1,1,0,27,9,0,0,2,0,KCA201504300
2015-05-01,0,Fri,DET,KCA,lobsk001,younc003,1,4,33,10,3,0,0,4,0,0,0,2,0,2,1,1,0,0,7,4,1,1,0,0,27,9,0,0,0,0,KCA201505010
2015-05-02,0,Sat,DET,KCA,pricd001,volqe001,2,1,31,5,0,0,1,1,0,0,0,0,0,3,0,1,1,0,3,3,2,2,1,0,27,10,1,0,1,0,KCA201505020
2015-05-03,0,Sun,DET,KCA,sanca004,guthj001,6,4,32,6,2,0,0,4,0,1,0,1,0,5,0,0,0,0,3,3,6,6,0,0,27,13,1,0,3,0,KCA201505030
2015-05-05,0,Tue,CLE,KCA,salad001,vargj001,3,5,29,6,0,2,1,5,1,0,1,1,0,9,0,0,0,0,3,4,3,3,0,0,27,7,0,0,0,0,KCA201505050
2015-05-06,0,Wed,CLE,KCA,carrc003,duffd001,10,3,32,5,2,1,1,3,0,0,0,2,0,9,1,0,0,0,4,6,10,10,2,0,27,11,0,0,1,0,KCA201505060
2015-05-07,0,Thu,CLE,KCA,klubc001,volqe001,4,7,36,12,1,0,1,6,1,0,1,4,0,8,1,0,0,0,11,6,4,4,0,0,27,10,0,0,0,0,KCA201505070
2015-05-08,0,Fri,KCA,DET,venty001,pricd001,5,6,39,14,2,0,1,4,0,0,0,0,0,1,0,0,3,0,7,5,4,4,1,0,24,8,3,0,1,0,DET201505080
2015-05-09,0,Sat,KCA,DET,guthj001,sanca004,6,2,38,13,4,1,1,6,1,0,1,3,1,5,0,1,0,0,10,3,2,2,0,0,27,8,1,0,0,0,DET201505090
2015-05-10,0,Sun,KCA,DET,younc003,grees005,2,1,33,5,2,1,0,2,0,1,1,2,0,3,0,0,1,0,5,6,0,0,1,0,30,12,2,0,1,0,DET201505100
