Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-05-10,0,Sun,NYN,PHI,colob001,billc001,7,4,35,9,3,0,1,4,0,1,1,1,0,7,0,0,0,0,7,4,7,7,0,0,27,8,1,0,1,0
2015-05-11,0,Mon,PIT,PHI,coleg001,willj003,4,3,34,9,0,0,1,3,0,0,1,2,0,7,0,0,2,0,7,6,3,3,0,0,27,10,1,0,1,0
2015-05-12,0,Tue,PIT,PHI,burna001,osuls001,7,2,34,8,3,0,0,2,0,0,0,1,0,7,0,1,0,0,6,5,7,7,0,0,27,13,0,0,1,0
2015-05-13,0,Wed,PIT,PHI,lirif001,hamec001,2,3,30,7,1,0,0,3,0,0,0,3,0,8,0,0,1,0,6,3,2,2,0,0,27,11,1,0,2,0
2015-05-14,0,Thu,PIT,PHI,worlv001,haraa001,2,4,33,11,2,0,1,3,1,0,0,3,1,4,1,1,2,0,9,3,2,2,0,0,27,12,1,1,3,0
2015-05-15,0,Fri,ARI,PHI,andec001,billc001,3,4,30,7,3,0,0,4,0,0,1,3,0,6,0,0,0,0,6,4,3,3,0,0,27,8,0,0,0,0
2015-05-16,0,Sat,ARI,PHI,brada001,willj003,5,7,38,13,5,0,1,6,0,0,0,4,1,8,1,0,1,0,11,5,4,4,0,0,27,14,1,0,1,0
2015-05-17,0,Sun,ARI,PHI,collj001,osuls001,0,6,32,11,2,1,2,6,1,1,0,4,0,4,2,0,1,0,8,4,0,0,1,0,27,9,0,0,1,0
2015-05-18,0,Mon,PHI,COL,hamec001,lylej001,4,3,35,10,2,0,0,4,0,0,1,2,0,4,1,0,3,0,7,3,3,3,0,0,27,7,1,0,1,0
2015-05-19,0,Tue,PHI,COL,haraa001,bettc001,5,6,35,11,5,0,0,5,1,0,1,1,0,6,1,0,2,0,6,3,3,3,0,0,24,8,1,0,1,0
2015-05-20,0,Wed,PHI,COL,gonzs001,butle001,4,2,37,9,3,0,1,3,0,0,0,4,1,4,0,0,0,0,10,5,2,2,0,0,27,13,0,0,2,0
2015-05-21,0,Thu,PHI,COL,willj003,delaj001,3,7,32,8,1,1,1,3,0,1,0,4,0,8,2,0,2,0,7,3,6,6,0,0,24,8,3,0,1,0
2015-05-22,0,Fri,PHI,WAS,osuls001,schem001,1,2,33,6,3,0,0,1,0,0,0,1,0,8,0,0,0,0,6,3,2,2,0,0,24,9,0,0,1,0
2015-05-23,0,Sat,PHI,WAS,hamec001,stras001,8,1,39,11,3,0,2,7,0,0,0,1,0,10,0,0,0,0,5,2,1,1,1,0,27,7,0,0,0,0
2015-05-24,0,Sun,PHI,WAS,haraa001,gonzg003,1,4,33,8,3,0,0,1,0,0,0,1,0,11,0,0,2,0,6,4,4,4,0,0,24,12,0,0,0,0
2015-05-25,0,Mon,PHI,NYN,gonzs001,colob001,3,6,33,6,1,0,0,3,0,1,0,3,0,10,0,0,0,0,7,5,6,6,0,0,24,6,0,0,2,0
2015-05-26,0,Tue,PHI,NYN,willj003,degrj001,4,5,38,11,0,1,0,4,0,0,0,2,0,12,0,1,2,0,6,5,5,5,0,0,29,13,0,0,3,0
2015-05-27,0,Wed,PHI,NYN,osuls001,syndn001,0,7,33,8,1,0,0,0,0,0,0,0,0,8,0,0,2,0,6,3,7,7,0,0,24,11,1,0,2,0
2015-05-29,0,Fri,COL,PHI,bettc001,hamec001,4,1,32,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,2,4,4,0,0,27,9,0,0,1,0
2015-05-30,0,Sat,COL,PHI,butle001,haraa001,5,2,35,8,2,0,1,2,0,0,0,2,0,5,1,0,1,0,8,6,5,5,0,0,27,8,0,0,0,0
2015-05-31,0,Sun,COL,PHI,lylej001,willj003,4,1,34,7,2,0,0,1,0,0,0,1,0,8,0,0,0,0,7,4,4,4,0,0,27,9,0,0,1,0
2015-06-02,0,Tue,CIN,PHI,cuetj001,osuls001,4,5,35,9,4,0,2,5,1,0,0,0,0,5,0,0,0,0,6,5,4,4,0,0,27,11,1,0,1,0
2015-06-03,0,Wed,CIN,PHI,leakm001,hamec001,4,5,38,7,1,0,1,4,0,1,0,4,0,10,0,0,0,0,7,6,4,4,0,0,33,11,2,0,0,0
2015-06-04,0,Thu,CIN,PHI,desca001,haraa001,6,4,31,7,3,1,0,4,0,1,0,2,0,5,1,0,1,0,3,4,5,5,1,0,27,12,1,0,1,0
