Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,PIT,CIN,lirif001,cuetj001,2,5,29,5,0,0,2,4,0,0,0,3,0,8,1,0,0,0,3,5,2,2,0,0,27,7,0,0,0,0,CIN201504060
2015-04-08,0,Wed,PIT,CIN,coleg001,leakm001,4,5,42,11,1,0,1,4,1,0,1,3,0,14,4,0,1,0,10,6,4,4,1,1,33,14,0,0,0,0,CIN201504080
2015-04-09,0,Thu,PIT,CIN,burna001,desca001,2,3,31,6,1,0,1,2,0,0,0,2,1,9,2,0,1,0,5,4,2,2,0,0,27,4,0,0,1,0,CIN201504090
2015-04-10,0,Fri,SLN,CIN,lackj001,marqj001,4,5,26,4,0,0,2,5,0,1,0,4,1,3,2,0,1,0,2,5,4,4,1,0,27,12,0,0,0,0,CIN201504100
2015-04-11,0,Sat,SLN,CIN,wachm001,cuetj001,4,1,32,6,1,0,1,1,1,0,0,1,0,6,1,0,0,0,6,3,3,3,0,0,27,10,2,0,2,0,CIN201504110
2015-04-12,0,Sun,SLN,CIN,martc006,igler001,7,5,43,11,1,0,2,5,1,0,1,8,0,17,0,0,0,0,15,5,7,7,1,0,33,11,0,1,1,0,CIN201504120
2015-04-13,0,Mon,CIN,CHN,leakm001,lestj001,6,7,42,13,4,1,0,6,0,0,0,0,0,7,1,0,0,0,6,5,7,7,1,0,28,15,0,0,0,0,CHN201504130
2015-04-14,0,Tue,CIN,CHN,desca001,arrij001,3,2,33,7,2,0,0,3,0,0,0,2,0,8,1,0,0,0,5,4,2,2,0,0,27,9,0,0,1,0,CHN201504140
2015-04-15,0,Wed,CIN,CHN,marqj001,woodt004,0,5,30,4,0,0,0,0,0,0,0,3,0,8,0,0,1,0,6,4,4,4,0,0,24,9,2,0,1,0,CHN201504150
2015-04-17,0,Fri,CIN,SLN,cuetj001,wachm001,1,6,33,6,1,0,1,1,1,0,1,2,0,7,0,0,0,0,9,2,5,5,0,0,24,6,1,0,1,0,SLN201504170
2015-04-18,0,Sat,CIN,SLN,bailh001,martc006,2,5,35,9,0,0,1,2,0,0,0,3,0,5,0,0,1,0,9,4,5,5,0,0,24,16,1,0,1,0,SLN201504180
2015-04-19,0,Sun,CIN,SLN,leakm001,waina001,1,2,35,8,1,0,0,1,0,0,0,2,0,5,1,0,0,0,9,1,2,2,0,0,24,11,0,0,1,0,SLN201504190
2015-04-20,0,Mon,CIN,MIL,desca001,peraw001,6,1,33,9,0,1,2,6,0,1,0,5,0,6,1,0,1,0,6,2,1,1,0,0,27,11,2,0,1,0,MIL201504200
2015-04-21,0,Tue,CIN,MIL,marqj001,fierm001,16,10,41,13,0,0,5,16,0,1,1,6,0,8,2,0,0,0,6,6,10,10,0,0,27,6,1,0,0,0,MIL201504210
2015-04-22,0,Wed,CIN,MIL,cuetj001,nelsj004,2,1,28,4,0,0,0,1,0,0,0,3,0,6,1,0,3,0,2,2,1,1,0,2,27,6,0,0,0,0,MIL201504220
2015-04-23,0,Thu,CIN,MIL,bailh001,lohsk001,2,4,29,4,1,0,1,2,0,0,0,1,0,8,0,1,1,0,1,3,3,3,1,0,24,11,1,0,2,0,MIL201504230
2015-04-24,0,Fri,CHN,CIN,lestj001,leakm001,7,3,38,8,3,0,0,3,1,1,0,4,1,16,3,0,1,0,8,5,7,7,1,0,33,7,1,0,0,0,CIN201504240
2015-04-26,0,Sun,CHN,CIN,arrij001,desca001,5,2,33,6,1,1,1,2,0,0,0,3,0,9,1,0,0,0,7,4,1,1,0,0,27,8,2,0,1,0,CIN201504260
2015-04-27,0,Mon,MIL,CIN,nelsj004,marqj001,6,9,30,9,2,1,1,7,1,1,1,9,1,5,2,0,1,0,9,3,6,6,1,0,27,13,0,0,3,0,CIN201504270
2015-04-28,0,Tue,MIL,CIN,lohsk001,cuetj001,2,4,30,7,0,0,3,4,0,0,0,3,0,6,0,0,0,0,5,2,2,2,0,0,27,7,0,0,0,0,CIN201504280
2015-04-29,0,Wed,MIL,CIN,garzm001,lorem002,8,3,32,7,0,0,3,3,0,0,0,2,0,6,0,0,1,0,4,5,8,8,1,0,27,6,0,0,0,0,CIN201504290
2015-04-30,0,Thu,CIN,ATL,leakm001,mills001,5,1,36,9,3,0,4,5,0,0,0,4,1,11,0,0,0,0,8,2,1,1,0,0,27,15,0,0,2,0,ATL201504300
2015-05-01,0,Fri,CIN,ATL,desca001,foltm001,3,4,33,8,1,0,0,3,0,1,0,3,0,6,5,0,1,0,7,4,4,4,0,0,24,10,0,0,0,0,ATL201505010
2015-05-02,0,Sat,CIN,ATL,marqj001,stule002,8,4,38,12,0,2,3,8,0,0,0,2,0,3,1,0,1,0,5,4,4,4,0,0,27,12,0,0,0,0,ATL201505020
2015-05-03,0,Sun,CIN,ATL,cuetj001,tehej001,0,5,30,4,0,0,0,0,0,0,1,3,0,11,0,0,1,0,7,3,5,5,0,1,24,10,1,0,3,0,ATL201505030
2015-05-05,0,Tue,CIN,PIT,lorem002,lockj001,7,1,36,12,1,0,2,6,1,0,0,3,0,6,1,1,1,0,6,4,1,1,0,0,27,11,0,0,1,0,PIT201505050
2015-05-06,0,Wed,CIN,PIT,leakm001,coleg001,3,0,35,10,1,1,1,3,0,0,0,2,1,7,2,0,2,0,7,2,0,0,0,0,27,18,2,0,1,0,PIT201505060
2015-05-07,0,Thu,CIN,PIT,desca001,burna001,2,7,33,9,0,1,1,2,0,0,1,2,0,6,1,0,2,0,7,4,7,7,0,0,24,12,0,0,1,0,PIT201505070
2015-05-09,1,Sat,CIN,CHA,cuetj001,noesh001,10,4,36,13,2,0,1,10,1,1,2,8,0,7,3,0,0,0,11,2,4,4,0,0,27,8,0,0,0,0,CHA201505091
2015-05-09,2,Sat,CIN,CHA,marqj001,rodoc001,2,8,29,6,0,0,0,2,0,0,0,6,0,11,1,0,2,0,6,3,8,8,0,1,24,12,0,0,0,0,CHA201505092
2015-05-10,0,Sun,CIN,CHA,lorem002,dankj001,3,4,34,10,1,1,0,3,0,0,0,5,1,6,0,1,2,0,9,5,4,4,2,0,26,10,0,0,1,0,CHA201505100
2015-05-11,0,Mon,ATL,CIN,mills001,leakm001,2,1,30,4,0,0,0,1,0,1,1,2,0,9,2,0,0,0,6,4,2,2,1,0,27,13,0,0,0,0,CIN201505110
2015-05-12,0,Tue,ATL,CIN,foltm001,desca001,3,4,30,8,2,0,1,4,1,1,0,4,0,9,0,2,0,0,7,4,3,3,0,0,27,8,0,0,0,0,CIN201505120
2015-05-13,0,Wed,ATL,CIN,stule002,igler001,1,5,28,7,1,1,2,5,0,1,0,4,0,6,1,0,2,0,4,2,1,1,0,0,27,5,0,0,0,0,CIN201505130
2015-05-14,0,Thu,SFN,CIN,linct001,cuetj001,3,4,29,7,1,0,1,4,0,0,1,6,0,8,3,1,0,0,8,4,3,3,0,1,27,14,0,0,2,0,CIN201505140
2015-05-15,0,Fri,SFN,CIN,bumgm001,marqj001,10,2,37,10,2,0,2,2,0,0,0,0,0,5,0,0,0,0,8,5,10,10,0,0,27,11,1,0,1,0,CIN201505150
2015-05-16,0,Sat,SFN,CIN,voger001,leakm001,11,2,34,7,2,0,1,2,0,0,1,5,0,5,0,0,0,0,11,5,11,11,0,0,27,16,0,0,1,0,CIN201505160
2015-05-17,0,Sun,SFN,CIN,hestc001,desca001,9,8,38,12,2,0,2,7,0,1,1,3,0,6,0,0,0,0,8,5,9,9,0,0,27,9,0,0,0,0,CIN201505170
2015-05-19,0,Tue,CIN,KCA,cuetj001,venty001,0,3,29,4,0,0,0,0,1,0,0,1,0,9,0,1,0,0,4,2,3,3,0,0,24,10,0,0,1,0,KCA201505190
2015-05-20,0,Wed,CIN,KCA,marqj001,guthj001,1,7,36,9,2,0,0,1,0,0,0,2,0,7,0,0,0,0,10,5,7,7,2,0,24,9,0,0,2,0,KCA201505200
2015-05-22,0,Fri,CIN,CLE,leakm001,carrc003,3,7,32,6,3,0,0,2,0,0,0,3,0,9,0,2,0,0,5,4,7,7,0,0,24,11,0,0,1,0,CLE201505220
2015-05-23,0,Sat,CIN,CLE,desca001,klubc001,1,2,33,9,3,0,0,1,0,1,0,0,0,8,1,1,1,0,6,2,2,2,0,0,24,5,0,0,1,0,CLE201505230
2015-05-24,0,Sun,CIN,CLE,igler001,bauet001,2,5,34,6,3,0,1,2,0,0,0,1,0,6,0,0,0,0,6,6,3,3,0,0,24,7,3,0,0,0,CLE201505240
2015-05-25,0,Mon,COL,CIN,butle001,marqj001,5,4,37,11,3,0,2,4,0,0,0,3,0,2,0,1,0,0,9,5,3,3,0,0,27,10,1,0,0,0,CIN201505250
2015-05-26,0,Tue,COL,CIN,rusic001,lorem002,1,2,28,5,2,0,0,2,2,0,0,5,0,5,0,0,0,0,8,3,1,1,2,0,27,12,0,0,2,0,CIN201505260
2015-05-27,0,Wed,COL,CIN,kendk001,leakm001,6,4,33,6,1,0,2,4,0,0,0,3,0,2,1,0,0,0,5,4,6,6,0,0,27,11,0,0,0,0,CIN201505270
2015-05-29,0,Fri,WAS,CIN,stras001,desca001,2,5,33,11,1,0,2,5,0,1,0,3,0,2,1,0,1,0,8,5,2,2,1,0,27,12,0,0,1,0,CIN201505290
2015-05-30,0,Sat,WAS,CIN,gonzg003,igler001,5,8,33,11,3,0,1,8,0,0,0,4,1,9,1,0,1,0,5,4,5,5,0,0,27,10,0,0,1,0,CIN201505300
