Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,BOS,PHI,buchc001,hamec001,8,0,35,9,0,0,5,8,0,0,0,7,0,9,1,0,1,0,7,3,0,0,0,0,27,9,1,0,0,0,PHI201504060
2015-04-08,0,Wed,BOS,PHI,porcr001,haraa001,2,4,30,3,0,0,0,2,0,0,0,4,0,10,0,0,0,1,6,3,3,3,1,0,24,10,2,0,0,0,PHI201504080
2015-04-09,0,Thu,BOS,PHI,mastj001,buchd001,6,2,39,11,0,1,0,6,0,0,0,6,0,7,0,0,1,0,12,4,2,2,1,0,27,10,0,0,0,0,PHI201504090
2015-04-10,0,Fri,BOS,NYA,milew001,eovan001,6,5,71,18,1,0,1,6,1,1,2,8,0,15,1,0,2,0,20,9,5,5,0,0,57,22,1,0,1,0,NYA201504100
2015-04-11,0,Sat,BOS,NYA,kellj001,warra001,8,4,37,9,3,0,0,8,0,0,0,5,0,3,2,0,2,0,7,4,4,4,1,0,27,7,0,0,0,0,NYA201504110
2015-04-12,0,Sun,BOS,NYA,buchc001,tanam001,4,14,35,8,1,0,1,4,0,1,0,3,0,6,0,0,1,0,8,5,13,13,0,0,24,10,1,0,2,0,NYA201504120
2015-04-13,0,Mon,WAS,BOS,zimmj003,porcr001,4,9,34,13,0,0,2,9,0,1,2,5,0,2,2,0,3,0,9,2,3,3,0,0,27,9,2,0,1,0,BOS201504130
2015-04-14,0,Tue,WAS,BOS,stras001,mastj001,7,8,36,11,1,0,1,6,0,0,3,1,0,5,1,0,1,0,8,5,7,7,1,1,27,12,1,0,0,0,BOS201504140
2015-04-15,0,Wed,WAS,BOS,gonzg003,milew001,10,5,35,7,2,1,1,5,0,0,0,2,0,12,0,0,0,0,5,4,10,10,0,0,27,11,0,0,1,0,BOS201504150
2015-04-17,0,Fri,BAL,BOS,jimeu001,kellj001,2,3,26,4,0,0,1,3,1,0,1,7,1,5,0,0,2,0,7,4,2,2,1,0,27,12,1,0,1,0,BOS201504170
2015-04-18,0,Sat,BAL,BOS,tillc001,buchc001,4,1,32,7,1,0,0,1,0,0,0,3,0,10,1,0,2,0,7,4,4,4,0,0,27,12,0,0,1,0,BOS201504180
2015-04-19,0,Sun,BAL,BOS,gonzm003,porcr001,8,3,33,6,1,0,1,3,0,0,0,4,0,7,0,0,0,0,7,3,8,8,0,0,27,8,0,0,2,0,BOS201504190
2015-04-20,0,Mon,BAL,BOS,chenw001,mastj001,1,7,22,5,1,0,0,4,1,1,2,6,1,3,1,0,1,0,7,3,1,1,0,0,21,6,0,0,1,0,BOS201504200
2015-04-21,0,Tue,BOS,TBA,milew001,archc001,1,0,34,8,1,0,0,0,1,0,0,2,0,11,1,0,0,0,9,5,0,0,0,0,27,14,0,0,2,0,TBA201504210
2015-04-22,0,Wed,BOS,TBA,kellj001,karnn001,5,7,35,8,2,0,2,5,0,0,1,4,0,8,1,0,0,0,8,4,7,7,0,0,24,10,0,0,2,0,TBA201504220
2015-04-23,0,Thu,BOS,TBA,buchc001,odorj001,1,2,30,3,1,0,0,1,0,1,0,3,0,5,1,0,0,0,6,4,2,2,0,0,25,7,0,0,0,0,TBA201504230
2015-04-24,0,Fri,BOS,BAL,porcr001,gonzm003,7,5,38,11,0,0,3,7,0,0,1,2,0,4,0,1,1,0,7,5,5,5,0,0,27,6,1,0,3,0,BAL201504240
2015-04-25,0,Sat,BOS,BAL,mastj001,chenw001,4,5,35,8,0,0,2,4,1,0,0,3,0,7,0,0,1,0,5,3,5,5,1,0,28,15,0,0,0,0,BAL201504250
2015-04-26,0,Sun,BOS,BAL,milew001,norrb001,7,18,37,9,1,0,3,7,0,0,0,6,0,3,0,0,0,0,9,6,16,16,1,0,24,6,1,1,0,0,BAL201504260
2015-04-27,0,Mon,TOR,BOS,sanca006,kellj001,5,6,33,10,2,0,1,5,0,1,0,3,1,9,0,1,0,0,6,3,5,5,0,0,27,4,0,0,1,0,BOS201504270
2015-04-28,0,Tue,TOR,BOS,hutcd001,buchc001,11,8,38,13,4,0,1,8,0,1,0,7,0,6,0,1,0,0,11,6,10,10,0,2,27,8,1,0,2,0,BOS201504280
2015-04-29,0,Wed,TOR,BOS,dickr001,porcr001,1,4,30,9,0,0,1,4,1,0,1,0,0,6,0,0,0,0,4,3,1,1,0,0,27,9,1,0,1,0,BOS201504290
2015-05-01,0,Fri,NYA,BOS,sabac001,mastj001,3,2,33,8,3,0,1,2,0,1,0,4,0,6,0,0,1,0,9,4,3,3,1,1,27,11,0,0,1,0,BOS201505010
2015-05-02,0,Sat,NYA,BOS,eovan001,milew001,4,2,34,8,1,0,1,2,0,0,0,2,0,7,0,0,1,0,7,3,4,4,1,0,27,14,0,0,0,0,BOS201505020
2015-05-03,0,Sun,NYA,BOS,warra001,kellj001,8,5,33,7,2,0,1,5,0,0,1,5,0,6,0,0,2,0,7,5,8,8,1,0,27,8,1,0,0,0,BOS201505030
2015-05-04,0,Mon,TBA,BOS,odorj001,buchc001,5,1,33,7,3,2,0,1,0,0,0,1,0,7,0,0,1,0,6,3,5,5,0,0,27,9,0,0,0,0,BOS201505040
2015-05-05,0,Tue,TBA,BOS,smyld001,porcr001,0,2,29,5,1,0,2,2,0,0,0,3,0,6,1,0,0,0,6,3,0,0,1,0,27,10,1,0,1,0,BOS201505050
2015-05-06,0,Wed,TBA,BOS,coloa001,mastj001,5,3,34,7,2,0,1,3,0,1,0,4,0,6,0,0,0,0,9,6,5,5,1,0,27,15,0,0,2,0,BOS201505060
2015-05-08,0,Fri,BOS,TOR,milew001,sanca006,0,7,28,2,0,0,0,0,0,0,1,5,0,7,0,0,2,0,7,4,7,7,0,0,24,10,0,0,1,0,TOR201505080
2015-05-09,0,Sat,BOS,TOR,kellj001,hutcd001,1,7,36,8,2,0,0,1,0,0,0,1,0,10,0,0,0,0,9,3,7,7,2,0,24,9,2,0,0,0,TOR201505090
2015-05-10,0,Sun,BOS,TOR,buchc001,dickr001,6,3,33,7,1,1,2,6,0,0,0,4,0,2,0,0,0,0,4,3,3,3,0,0,27,19,0,0,3,0,TOR201505100
2015-05-11,0,Mon,BOS,OAK,porcr001,kazms001,5,4,39,10,2,0,1,5,1,0,0,7,0,5,0,0,1,0,9,7,4,4,1,0,33,8,0,0,1,0,OAK201505110
2015-05-12,0,Tue,BOS,OAK,mastj001,pomed001,2,9,30,4,1,0,0,2,0,0,0,0,0,5,0,0,0,0,1,2,9,9,0,0,24,14,0,0,0,0,OAK201505120
2015-05-13,0,Wed,BOS,OAK,milew001,grays001,2,0,33,6,0,0,0,1,0,0,1,1,0,11,0,0,0,0,6,3,0,0,1,0,27,10,0,0,1,0,OAK201505130
2015-05-14,0,Thu,BOS,SEA,kellj001,eliar001,2,1,32,10,2,0,1,2,2,1,1,4,0,5,0,1,1,0,11,4,1,1,1,0,27,20,0,0,2,0,SEA201505140
2015-05-15,0,Fri,BOS,SEA,buchc001,happj001,1,2,31,7,0,1,0,1,1,0,0,1,0,4,1,1,1,0,5,3,2,2,0,0,26,7,0,0,0,0,SEA201505150
2015-05-16,0,Sat,BOS,SEA,porcr001,hernf002,4,2,35,8,1,0,2,4,0,0,0,5,0,9,0,0,0,0,9,4,2,2,0,0,27,8,0,0,0,0,SEA201505160
2015-05-17,0,Sun,BOS,SEA,wrigs001,paxtj001,0,5,31,5,1,0,0,0,0,0,0,2,0,3,0,0,1,0,6,4,4,4,0,0,24,8,0,1,0,0,SEA201505170
2015-05-19,0,Tue,TEX,BOS,gally001,milew001,3,4,37,13,5,0,2,4,0,0,1,2,1,3,0,0,0,0,12,3,3,3,1,0,27,6,1,0,0,0,BOS201505190
2015-05-20,0,Wed,TEX,BOS,kleip001,kellj001,2,1,37,9,2,0,1,1,0,0,0,3,2,6,0,0,0,0,12,4,2,2,0,0,27,12,1,0,1,0,BOS201505200
2015-05-21,0,Thu,TEX,BOS,rodrw002,buchc001,3,1,31,6,2,0,0,1,0,0,0,2,0,10,0,0,1,0,5,3,2,2,0,0,27,13,2,0,3,0,BOS201505210
2015-05-22,0,Fri,ANA,BOS,richg002,porcr001,12,5,36,11,1,0,1,5,0,0,1,2,0,4,0,0,2,0,7,4,10,10,0,0,27,9,3,0,0,0,BOS201505220
2015-05-23,0,Sat,ANA,BOS,wilsc004,wrigs001,3,8,35,12,0,0,2,8,0,0,0,4,0,8,0,0,2,0,7,4,3,3,0,1,27,6,0,0,0,0,BOS201505230
2015-05-24,0,Sun,ANA,BOS,santh001,milew001,1,6,32,12,3,0,1,6,1,1,0,2,1,7,0,0,0,0,6,2,1,1,0,0,27,11,0,0,1,0,BOS201505240
2015-05-25,0,Mon,BOS,MIN,kellj001,nolar001,2,7,34,8,1,0,0,2,0,0,0,0,0,6,0,0,1,0,5,5,7,7,1,0,24,9,0,0,1,0,MIN201505250
2015-05-26,0,Tue,BOS,MIN,buchc001,pelfm001,1,2,32,7,1,0,0,1,0,0,0,2,0,4,0,0,2,0,6,2,2,2,0,0,24,10,1,0,2,0,MIN201505260
2015-05-27,0,Wed,BOS,MIN,porcr001,hughp001,4,6,34,7,1,0,2,4,0,0,0,1,0,3,1,0,0,0,4,2,6,6,0,0,24,12,0,0,2,0,MIN201505270
2015-05-28,0,Thu,BOS,TEX,rodre004,martn002,5,1,34,13,1,1,1,5,0,0,2,5,1,5,0,1,5,0,9,3,1,1,0,0,27,10,0,0,0,0,TEX201505280
2015-05-29,0,Fri,BOS,TEX,wrigs001,gally001,4,7,31,6,0,0,1,4,0,1,0,4,0,8,1,0,2,0,5,5,7,7,1,0,24,12,0,0,1,0,TEX201505290
2015-05-30,0,Sat,BOS,TEX,milew001,gonzc002,0,8,31,5,2,0,0,0,0,0,0,5,0,5,0,0,1,0,9,3,7,7,0,0,24,12,3,0,1,0,TEX201505300
