Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,CLE,HOU,klubc001,keucd001,0,2,29,3,0,0,0,0,0,0,0,3,0,7,0,0,1,0,5,2,2,2,0,0,24,10,0,0,0,0
2015-04-08,0,Wed,CLE,HOU,carrc003,felds001,2,0,33,7,0,0,2,2,1,0,0,0,0,8,0,0,0,0,5,5,0,0,0,0,27,7,0,0,1,0
2015-04-09,0,Thu,CLE,HOU,bauet001,wojca001,5,1,36,11,3,1,2,5,0,1,0,3,0,7,2,0,2,0,8,4,1,1,0,0,27,4,0,0,0,0
2015-04-10,0,Fri,DET,CLE,simoa001,mcalz001,8,4,34,10,2,0,0,4,0,0,0,3,0,7,0,1,2,0,6,7,6,6,1,0,27,9,1,0,1,0
2015-04-11,0,Sat,DET,CLE,pricd001,klubc001,9,6,34,8,2,0,0,6,0,1,0,5,0,8,0,0,1,0,7,7,9,9,0,0,27,11,0,0,1,0
2015-04-12,0,Sun,DET,CLE,lobsk001,houst002,8,5,36,9,2,0,0,5,0,1,1,3,0,6,1,0,0,0,9,3,8,8,0,0,27,13,1,0,1,0
2015-04-14,0,Tue,CHA,CLE,quinj001,carrc003,4,1,31,3,1,0,0,1,0,0,0,3,0,14,1,0,0,0,6,5,4,4,2,0,27,12,0,0,0,0
2015-04-15,0,Wed,CHA,CLE,dankj001,bauet001,2,4,30,8,3,0,0,4,2,0,0,2,0,9,1,0,1,0,6,5,2,2,0,0,27,4,0,0,0,0
2015-04-17,0,Fri,CLE,MIN,klubc001,pelfm001,2,3,40,8,1,0,1,1,0,0,0,5,1,10,1,0,0,0,10,4,3,3,2,0,30,13,2,0,1,0
2015-04-18,0,Sat,CLE,MIN,salad001,hughp001,4,2,34,8,2,0,1,3,0,1,0,1,0,4,0,0,0,0,5,3,2,2,1,0,27,7,0,0,2,0
2015-04-19,0,Sun,CLE,MIN,houst002,may-t001,2,7,34,7,0,0,1,2,0,0,0,2,0,6,0,0,1,0,7,4,7,7,0,0,24,10,1,0,0,0
2015-04-20,0,Mon,CLE,CHA,bauet001,dankj001,3,4,33,6,2,0,2,3,0,0,0,3,0,7,0,0,0,0,6,4,4,4,1,0,25,6,0,0,1,0
2015-04-21,0,Tue,CLE,CHA,carrc003,noesh001,6,2,31,7,1,0,2,6,1,1,0,5,0,7,1,1,0,0,5,7,2,2,1,0,27,12,1,0,1,0
2015-04-22,0,Wed,CLE,CHA,klubc001,samaj001,0,6,34,8,1,0,0,0,0,0,0,4,0,6,0,0,1,0,11,2,6,6,2,0,24,10,0,0,1,0
2015-04-24,0,Fri,CLE,DET,salad001,grees005,13,1,38,15,4,0,3,13,1,1,0,3,0,3,0,0,2,0,3,3,1,1,0,0,27,6,0,0,0,0
2015-04-25,0,Sat,CLE,DET,houst002,simoa001,1,4,32,8,2,0,0,1,1,0,0,2,0,5,2,0,1,0,7,5,4,4,0,0,24,5,1,0,1,0
2015-04-26,0,Sun,CLE,DET,carrc003,lobsk001,6,8,35,10,1,0,1,6,0,1,0,3,0,4,0,0,0,0,6,4,8,8,0,0,24,8,1,0,2,0
2015-04-27,0,Mon,KCA,CLE,vargj001,klubc001,6,2,30,4,2,0,1,2,0,0,0,5,0,7,0,0,1,0,6,4,4,4,0,0,27,14,3,0,2,0
2015-04-28,0,Tue,KCA,CLE,guthj001,bauet001,11,5,34,9,1,0,1,5,0,0,1,4,0,5,1,2,0,0,7,5,11,11,0,1,27,16,1,0,2,0
2015-04-29,0,Wed,KCA,CLE,venty001,salad001,5,7,32,8,3,0,2,7,0,0,0,5,0,3,0,0,0,0,6,3,4,4,0,0,27,6,1,1,0,0
2015-04-30,0,Thu,TOR,CLE,norrd002,houst002,5,1,36,11,3,0,0,1,0,0,0,2,0,6,0,0,2,0,10,4,5,5,0,0,27,19,0,0,1,0
2015-05-01,0,Fri,TOR,CLE,buehm001,carrc003,4,9,36,13,2,0,3,9,1,0,0,4,1,4,0,0,0,0,8,4,4,4,0,0,27,9,0,0,2,0
2015-05-02,0,Sat,TOR,CLE,sanca006,klubc001,11,4,33,6,1,0,0,4,0,1,0,6,0,6,2,1,0,0,9,6,5,5,0,0,27,13,1,0,1,0
2015-05-03,0,Sun,TOR,CLE,hutcd001,bauet001,7,10,31,13,5,0,1,10,1,2,0,7,1,4,0,0,2,0,7,6,7,7,1,0,27,9,0,0,1,0
2015-05-05,0,Tue,CLE,KCA,salad001,vargj001,3,5,31,4,1,0,2,3,0,0,0,2,0,8,0,0,0,0,3,3,5,5,0,0,24,9,0,0,0,0
2015-05-06,0,Wed,CLE,KCA,carrc003,duffd001,10,3,36,13,4,0,1,9,1,1,2,4,0,5,0,0,1,0,7,3,3,3,0,0,27,11,1,0,0,0
2015-05-07,0,Thu,CLE,KCA,klubc001,volqe001,4,7,31,4,0,1,1,4,0,0,0,6,0,8,1,0,0,0,6,7,7,7,0,0,24,7,2,0,0,0
2015-05-08,0,Fri,MIN,CLE,pelfm001,bauet001,9,3,34,7,1,0,1,3,0,0,0,3,0,1,0,0,0,0,7,5,6,6,2,0,27,11,1,0,1,0
2015-05-09,0,Sat,MIN,CLE,hughp001,chenb001,7,4,39,13,2,0,1,4,0,0,0,2,0,7,2,0,0,0,10,6,7,7,0,0,27,18,1,0,2,0
2015-05-10,0,Sun,MIN,CLE,may-t001,salad001,2,8,35,13,2,1,1,8,0,1,0,4,0,6,2,1,0,0,8,3,2,2,0,0,27,4,0,0,0,0
2015-05-12,0,Tue,SLN,CLE,lynnl001,carrc003,8,3,36,9,4,0,0,3,0,0,0,4,0,14,0,0,0,0,10,6,6,4,0,0,27,13,2,0,0,0
2015-05-13,0,Wed,SLN,CLE,lackj001,klubc001,0,2,29,7,1,0,0,2,2,0,2,6,0,3,0,0,0,0,13,2,0,0,0,0,27,2,0,0,0,0
2015-05-14,0,Thu,SLN,CLE,wachm001,bauet001,2,1,34,8,3,1,1,1,0,0,0,3,0,12,0,1,0,0,9,4,2,2,1,0,27,6,0,0,1,0
2015-05-15,0,Fri,CLE,TEX,chenb001,rodrw002,8,3,36,12,4,0,1,8,0,1,2,3,0,3,1,0,2,0,7,6,3,3,0,0,27,9,2,0,1,0
2015-05-16,0,Sat,CLE,TEX,salad001,lewic001,10,8,39,14,4,0,1,10,0,3,0,5,1,11,2,0,0,0,10,6,6,6,0,0,27,15,2,0,2,0
2015-05-17,0,Sun,CLE,TEX,carrc003,martn002,1,5,32,6,1,0,0,1,0,0,1,5,1,9,0,1,0,0,10,1,5,5,0,0,24,6,1,0,0,0
2015-05-18,0,Mon,CLE,CHA,klubc001,salec001,1,2,32,4,1,0,0,1,1,1,0,2,0,8,0,0,0,0,5,2,2,2,1,0,29,7,0,0,2,0
2015-05-19,0,Tue,CLE,CHA,bauet001,quinj001,3,1,32,9,1,1,1,3,1,1,1,4,1,8,1,0,1,0,9,4,1,1,0,0,27,5,1,1,0,0
2015-05-20,0,Wed,CLE,CHA,marcs001,rodoc001,4,3,29,6,1,0,0,4,2,1,0,6,0,8,3,0,2,0,7,3,3,3,0,0,27,9,0,0,0,0
2015-05-21,0,Thu,CLE,CHA,salad001,dankj001,5,2,36,11,2,0,2,4,1,0,0,6,1,4,1,0,1,0,11,4,2,2,0,0,27,7,1,0,2,0
