Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,MIN,DET,hughp001,pricd001,0,4,31,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,4,2,4,4,0,0,24,6,0,0,2,0,DET201504060
2015-04-08,0,Wed,MIN,DET,nolar001,sanca004,0,11,31,4,1,0,0,0,0,0,0,2,0,9,0,0,0,0,6,5,10,10,1,0,24,8,1,0,0,0,DET201504080
2015-04-09,0,Thu,MIN,DET,gibsk002,grees005,1,7,31,5,1,0,0,0,0,0,0,1,0,5,0,0,1,0,4,5,7,7,0,0,24,4,1,0,1,0,DET201504090
2015-04-10,0,Fri,MIN,CHA,milot001,noesh001,6,0,36,10,1,0,1,5,0,0,1,9,3,9,1,0,0,0,13,2,0,0,0,0,27,10,0,0,1,0,CHA201504100
2015-04-11,0,Sat,MIN,CHA,pelfm001,samaj001,4,5,35,8,2,1,0,4,0,0,0,1,0,10,2,1,0,0,5,4,4,4,0,0,24,13,1,0,1,0,CHA201504110
2015-04-12,0,Sun,MIN,CHA,hughp001,salec001,2,6,34,7,2,0,0,2,0,0,0,2,0,10,0,0,1,0,7,4,6,6,0,0,24,5,2,0,0,0,CHA201504120
2015-04-13,0,Mon,KCA,MIN,duffd001,may-t001,12,3,31,7,2,0,1,3,0,1,0,1,0,7,0,0,2,0,3,6,10,10,0,0,27,12,2,1,1,0,MIN201504130
2015-04-15,0,Wed,KCA,MIN,volqe001,gibsk002,1,3,28,5,0,0,1,3,0,1,0,1,0,7,0,1,0,0,3,4,1,1,0,0,27,13,0,0,2,0,MIN201504150
2015-04-16,0,Thu,KCA,MIN,vargj001,milot001,5,8,37,14,2,0,2,7,0,1,0,2,0,2,0,0,1,0,8,6,5,5,2,0,27,12,2,0,0,0,MIN201504160
2015-04-17,0,Fri,CLE,MIN,klubc001,pelfm001,2,3,35,6,0,0,1,2,2,0,1,4,3,10,1,0,1,0,9,6,2,2,1,0,33,12,0,0,1,0,MIN201504170
