Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,ANA,SEA,weavj003,hernf002,1,4,32,10,3,1,1,4,0,0,0,1,0,3,0,0,1,0,5,5,1,1,0,0,27,10,0,0,2,0
2015-04-07,0,Tue,ANA,SEA,wilsc004,paxtj001,2,0,29,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,4,2,2,1,0,27,12,1,0,1,0
2015-04-08,0,Wed,ANA,SEA,shoem001,iwakh001,5,3,35,9,2,0,2,3,0,0,1,1,1,9,0,1,0,0,7,4,4,4,0,0,27,9,1,0,0,0
2015-04-10,0,Fri,SEA,OAK,walkt004,pomed001,0,12,29,3,0,0,0,0,0,0,0,2,0,7,0,0,1,0,4,4,12,12,1,0,24,11,1,0,0,0
2015-04-11,0,Sat,SEA,OAK,happj001,grays001,5,4,42,10,1,0,2,5,1,0,0,3,0,7,1,0,1,0,8,5,4,4,1,0,33,15,0,0,0,0
2015-04-12,0,Sun,SEA,OAK,hernf002,hahnj001,8,7,37,7,1,0,2,6,0,1,0,3,0,6,0,0,1,0,3,5,7,7,1,0,30,17,1,0,3,0
2015-04-13,0,Mon,SEA,LAN,paxtj001,mccab001,5,6,35,6,0,0,4,5,0,0,0,1,0,15,0,0,0,0,1,5,6,6,0,0,29,11,0,0,0,0
2015-04-14,0,Tue,SEA,LAN,iwakh001,huffd001,5,6,36,10,1,0,2,5,1,0,1,4,0,12,0,0,0,0,10,5,6,6,0,0,25,11,1,0,1,0
2015-04-15,0,Wed,SEA,LAN,walkt004,andeb004,2,5,34,9,1,0,1,2,0,0,0,2,0,7,0,1,0,0,7,3,5,5,0,0,24,8,1,0,1,0
2015-04-17,0,Fri,TEX,SEA,gally001,happj001,3,1,31,8,1,0,0,1,0,1,0,2,0,5,0,0,3,0,6,4,2,2,2,0,27,11,1,0,0,0
2015-04-18,0,Sat,TEX,SEA,lewic001,hernf002,1,3,31,11,2,1,1,3,0,1,1,3,0,7,2,1,0,0,9,3,1,1,0,0,27,6,0,0,0,0
2015-04-19,0,Sun,TEX,SEA,detwr001,paxtj001,10,11,42,17,1,0,3,11,0,0,0,7,1,7,0,0,1,0,12,5,10,10,0,0,27,6,1,0,0,0
2015-04-20,0,Mon,HOU,SEA,wojca001,iwakh001,7,5,36,10,5,0,0,5,0,1,0,5,0,10,1,0,0,0,10,5,6,6,1,0,27,10,1,0,1,0
2015-04-21,0,Tue,HOU,SEA,mchuc001,walkt004,6,3,32,7,1,0,0,3,0,0,0,2,0,8,0,0,1,0,4,6,5,5,0,0,27,5,1,0,1,0
2015-04-22,0,Wed,HOU,SEA,carmf001,happj001,2,3,30,7,0,0,1,3,0,0,0,1,0,4,1,0,0,0,4,3,2,2,0,0,27,12,0,0,1,0
2015-04-24,0,Fri,MIN,SEA,hughp001,hernf002,0,2,30,6,1,0,2,2,0,0,0,0,0,9,1,0,1,0,4,1,0,0,0,0,27,10,1,0,0,0
2015-04-25,0,Sat,MIN,SEA,may-t001,paxtj001,8,5,34,8,4,0,1,5,0,1,0,2,0,7,0,0,0,0,5,5,5,5,2,0,27,9,3,0,0,0
2015-04-26,0,Sun,MIN,SEA,gibsk002,eliar001,4,2,37,6,3,0,1,2,2,0,0,4,1,7,1,0,1,0,8,6,4,4,0,0,33,12,0,0,1,0
2015-04-27,0,Mon,SEA,TEX,walkt004,gally001,3,1,30,5,0,0,0,2,0,0,0,3,0,6,2,0,1,0,3,4,0,0,0,0,27,9,1,0,1,0
2015-04-28,0,Tue,SEA,TEX,happj001,detwr001,2,1,32,7,1,1,1,2,0,0,0,2,0,6,1,0,2,0,5,6,1,1,0,0,27,6,1,0,0,0
2015-04-29,0,Wed,SEA,TEX,hernf002,rodrw002,5,2,36,9,2,0,1,3,1,0,0,6,1,5,1,1,1,0,11,3,2,2,0,0,27,17,0,0,1,0
2015-04-30,0,Thu,SEA,HOU,paxtj001,felds001,2,3,36,11,0,0,0,1,1,0,0,2,0,4,2,1,3,0,7,3,3,3,0,0,28,17,0,0,1,0
2015-05-01,0,Fri,SEA,HOU,eliar001,dedus001,3,4,33,6,1,1,2,3,0,0,0,2,0,11,1,0,0,0,5,3,4,4,1,0,24,13,0,0,3,0
2015-05-02,0,Sat,SEA,HOU,walkt004,mchuc001,4,11,33,7,0,0,4,4,0,0,0,2,0,7,0,0,1,0,4,4,10,10,0,1,24,12,3,0,1,0
