Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-05,0,Sun,SLN,CHN,waina001,lestj001,3,0,36,10,3,0,0,3,0,0,0,4,1,11,4,1,0,0,10,4,0,0,0,0,27,8,0,1,0,0
2015-04-08,0,Wed,SLN,CHN,lynnl001,arrij001,0,2,31,4,1,0,0,0,0,0,0,3,0,8,0,0,0,0,7,3,1,1,0,0,24,4,1,0,0,0
2015-04-10,0,Fri,SLN,CIN,lackj001,marqj001,4,5,36,10,2,0,1,4,0,0,0,3,1,12,0,0,0,0,8,3,5,5,1,1,24,7,0,0,1,0
2015-04-11,0,Sat,SLN,CIN,wachm001,cuetj001,4,1,33,8,0,0,1,4,0,1,1,1,0,5,1,0,2,0,5,6,1,1,2,0,27,12,1,0,0,0
2015-04-12,0,Sun,SLN,CIN,martc006,igler001,7,5,39,10,3,0,2,7,2,0,1,6,0,8,0,0,1,0,8,8,5,5,1,0,33,9,0,0,0,0
2015-04-13,0,Mon,MIL,SLN,garzm001,waina001,5,4,37,9,2,0,0,3,0,0,0,6,1,6,0,0,0,0,12,4,3,3,0,0,27,13,2,0,1,0
2015-04-15,0,Wed,MIL,SLN,peraw001,lynnl001,2,4,34,10,2,0,0,4,0,0,0,1,0,4,0,0,0,0,7,7,2,2,1,0,27,9,1,0,0,0
2015-04-16,0,Thu,MIL,SLN,fierm001,lackj001,0,4,33,11,5,0,0,4,0,0,0,2,0,5,1,0,1,0,7,3,0,0,0,0,27,8,1,0,0,0
2015-04-17,0,Fri,CIN,SLN,cuetj001,wachm001,1,6,29,7,4,0,0,6,0,2,0,2,1,10,0,0,1,0,3,2,1,1,0,0,27,9,2,0,0,0
2015-04-18,0,Sat,CIN,SLN,bailh001,martc006,2,5,34,10,3,0,1,5,0,0,0,3,2,2,1,0,1,0,8,5,2,2,0,0,27,8,0,0,1,0
2015-04-19,0,Sun,CIN,SLN,leakm001,waina001,1,2,26,4,1,0,1,2,0,1,0,0,0,3,0,0,1,0,1,2,1,1,0,0,27,11,0,0,0,0
2015-04-21,0,Tue,SLN,WAS,lynnl001,gonzg003,1,2,40,13,1,0,0,1,0,0,0,4,1,8,2,1,2,0,13,7,2,2,0,0,29,8,2,0,2,0
2015-04-22,0,Wed,SLN,WAS,lackj001,fistd001,7,5,37,11,2,0,3,6,1,0,0,5,1,8,0,0,0,0,9,4,5,5,0,0,27,11,2,0,0,0
