Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,ATL,MIA,tehej001,alvah001,2,1,31,8,1,0,0,1,0,0,0,1,0,7,0,1,2,0,4,3,2,2,0,1,27,15,0,0,0,0
2015-04-07,0,Tue,ATL,MIA,wooda002,latom001,12,2,30,5,0,1,0,2,0,0,0,5,0,10,0,0,2,0,6,6,12,12,1,0,27,19,0,0,2,0
2015-04-08,0,Wed,ATL,MIA,mills001,koeht001,2,0,33,6,0,0,0,0,0,0,0,2,1,8,1,0,0,0,8,4,2,2,0,0,27,8,0,0,3,0
2015-04-10,0,Fri,TBA,MIA,gelts001,hared001,9,10,40,13,4,0,0,9,0,0,1,6,0,8,3,0,1,0,9,6,9,9,0,0,30,8,0,0,1,0
2015-04-11,0,Sat,TBA,MIA,archc001,cosaj001,2,0,28,2,1,0,0,0,0,0,0,2,0,8,0,1,0,0,3,3,2,2,0,0,27,14,0,0,1,0
2015-04-12,0,Sun,TBA,MIA,karnn001,alvah001,8,5,35,8,2,1,1,5,0,1,0,2,0,7,0,0,0,0,6,3,8,8,2,0,27,12,1,0,1,0
2015-04-13,0,Mon,MIA,ATL,latom001,mills001,2,3,31,6,2,0,0,2,1,0,0,4,0,8,1,0,1,0,7,4,2,2,2,0,24,9,1,0,1,0
2015-04-14,0,Tue,MIA,ATL,koeht001,cahit001,8,2,34,11,3,0,0,8,1,2,1,6,0,8,3,0,1,0,9,4,2,2,0,0,27,7,1,0,0,0
2015-04-15,0,Wed,MIA,ATL,hared001,stule002,6,2,30,8,2,0,2,6,1,1,0,4,0,5,0,1,2,0,3,3,2,2,0,0,27,10,1,0,1,0
2015-04-16,0,Thu,MIA,NYN,cosaj001,gee-d001,5,7,33,7,1,1,2,4,0,0,0,3,0,11,1,1,1,0,4,4,7,7,0,0,24,10,0,0,1,0
2015-04-17,0,Fri,MIA,NYN,pheld001,colob001,1,4,33,7,2,0,1,1,0,0,0,0,0,7,0,0,1,0,5,4,4,4,0,0,24,8,0,0,0,0
2015-04-18,0,Sat,MIA,NYN,latom001,degrj001,4,5,36,11,1,0,1,4,1,0,0,1,0,13,0,1,0,0,7,3,5,5,1,0,24,10,0,0,1,0
2015-04-19,0,Sun,MIA,NYN,koeht001,harvm001,6,7,35,11,1,0,0,5,1,2,0,1,0,9,0,0,0,0,6,4,7,7,0,0,24,10,0,0,2,0
2015-04-21,0,Tue,MIA,PHI,hared001,willj003,3,7,36,10,1,0,1,2,0,0,0,1,0,10,1,0,1,0,7,3,7,7,0,0,24,4,1,0,0,0
2015-04-22,0,Wed,MIA,PHI,cosaj001,hamec001,6,1,38,10,1,0,0,1,0,0,1,5,1,8,1,1,1,0,11,4,1,1,0,0,27,16,0,0,2,0
2015-04-23,0,Thu,MIA,PHI,pheld001,mcgod001,9,1,38,12,2,0,1,9,1,0,1,5,0,10,0,1,1,0,9,3,1,1,0,0,27,8,0,0,1,0
2015-04-24,0,Fri,WAS,MIA,zimmj003,latom001,2,3,31,9,1,0,0,3,0,0,0,0,0,5,1,0,1,0,4,4,2,2,0,0,27,12,0,0,0,0
2015-04-25,0,Sat,WAS,MIA,stras001,koeht001,0,8,33,12,2,0,2,7,0,0,0,4,0,9,0,1,3,0,5,3,0,0,0,0,27,11,0,0,1,0
2015-04-26,0,Sun,WAS,MIA,gonzg003,hared001,2,6,36,14,0,3,0,6,0,1,0,1,0,13,0,1,0,0,8,4,2,2,0,0,27,8,0,0,0,0
2015-04-27,0,Mon,NYN,MIA,gee-d001,cosaj001,3,1,33,6,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,2,3,3,0,0,27,13,0,0,1,0
2015-04-28,0,Tue,NYN,MIA,montr004,pheld001,3,4,30,6,1,0,0,3,1,0,0,3,1,9,0,0,0,0,6,5,3,3,0,0,27,10,1,0,0,0
2015-04-29,0,Wed,NYN,MIA,colob001,latom001,3,7,32,12,2,0,2,7,2,1,0,1,0,4,1,0,1,0,5,4,3,3,0,0,27,10,0,0,2,0
2015-05-01,0,Fri,PHI,MIA,willj003,koeht001,3,4,35,13,5,0,0,4,0,1,0,4,2,4,1,0,2,0,12,5,3,3,0,0,27,6,0,0,0,0
2015-05-02,0,Sat,PHI,MIA,hamec001,hared001,0,7,33,13,4,0,1,7,1,1,1,4,0,7,2,0,2,0,9,3,0,0,1,0,27,6,0,1,1,0
2015-05-03,0,Sun,PHI,MIA,gonzs001,cosaj001,6,2,31,6,1,0,0,2,0,1,0,2,0,10,2,1,0,0,5,4,5,5,1,0,27,9,2,0,0,0
2015-05-04,0,Mon,MIA,WAS,pheld001,zimmj003,4,6,35,9,0,0,1,4,1,0,0,3,2,9,1,1,0,0,8,4,6,6,0,0,24,8,0,0,1,0
2015-05-05,0,Tue,MIA,WAS,latom001,stras001,2,1,33,6,0,2,0,1,1,0,2,3,0,7,1,0,0,0,10,5,1,1,0,0,27,13,1,0,1,0
2015-05-06,0,Wed,MIA,WAS,koeht001,schem001,5,7,39,13,1,0,1,5,0,0,1,0,0,13,0,0,1,0,8,3,7,7,1,0,24,9,1,0,2,0
2015-05-07,0,Thu,MIA,SFN,hared001,hudst001,7,2,40,17,2,0,1,7,0,1,0,0,0,4,0,0,2,0,7,3,2,2,0,0,27,13,0,0,2,0
