Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,SDN,LAN,shiej002,kersc001,3,6,33,9,4,1,2,6,0,0,1,5,2,10,2,1,0,0,9,4,3,3,0,0,27,10,0,0,2,0,LAN201504060
2015-04-07,0,Tue,SDN,LAN,rosst001,greiz001,7,3,32,7,4,0,1,3,0,0,0,4,0,9,1,1,0,0,6,7,4,4,1,0,27,9,3,0,0,0,LAN201504070
2015-04-08,0,Wed,SDN,LAN,casha001,mccab001,4,7,35,12,1,1,3,7,0,0,0,3,0,9,0,1,0,0,7,5,4,4,0,0,27,10,0,0,0,0,LAN201504080
2015-04-10,0,Fri,LAN,ARI,andeb004,andec001,3,4,35,8,1,0,1,3,1,0,0,3,1,8,0,0,2,0,6,4,4,4,1,0,28,10,1,0,0,0,ARI201504100
2015-04-11,0,Sat,LAN,ARI,kersc001,brada001,0,6,28,2,1,0,0,0,0,0,0,4,0,9,0,0,1,0,5,2,5,5,0,0,24,11,1,0,1,0,ARI201504110
2015-04-12,0,Sun,LAN,ARI,greiz001,collj001,7,4,40,16,3,1,3,7,1,1,1,4,2,4,1,1,1,0,13,5,4,4,0,0,27,10,2,0,1,0,ARI201504120
2015-04-13,0,Mon,SEA,LAN,paxtj001,mccab001,5,6,37,9,3,0,1,6,0,1,0,4,1,7,0,0,0,0,7,5,5,5,0,0,30,7,0,0,0,0,LAN201504130
2015-04-14,0,Tue,SEA,LAN,iwakh001,huffd001,5,6,36,12,2,0,2,6,0,0,0,4,0,6,0,1,1,0,9,5,5,5,0,0,27,12,0,1,0,0,LAN201504140
2015-04-15,0,Wed,SEA,LAN,walkt004,andeb004,2,5,31,9,2,0,0,5,0,0,1,7,2,7,0,1,1,0,10,5,2,2,0,0,27,10,0,0,0,0,LAN201504150
2015-04-17,0,Fri,COL,LAN,kendk001,kersc001,3,7,32,10,4,0,1,6,0,1,0,5,1,9,1,0,1,0,7,4,1,1,1,0,27,4,1,1,0,0,LAN201504170
2015-04-18,0,Sat,COL,LAN,lylej001,greiz001,3,6,31,9,4,0,0,6,1,0,0,5,0,8,1,0,1,0,7,4,3,3,2,0,27,11,1,0,1,0,LAN201504180
2015-04-19,0,Sun,COL,LAN,butle001,mccab001,0,7,36,14,7,0,3,7,1,0,0,2,0,6,0,1,0,0,8,3,0,0,0,0,27,10,0,0,1,0,LAN201504190
2015-04-21,0,Tue,LAN,SFN,andeb004,linct001,2,6,30,7,2,0,0,1,0,0,0,6,0,6,0,0,3,0,7,5,6,6,0,2,24,10,1,0,2,0,SFN201504210
2015-04-22,0,Wed,LAN,SFN,kersc001,bumgm001,2,3,35,7,0,0,1,2,0,0,0,3,0,10,0,0,0,0,9,5,3,3,0,0,26,5,0,0,1,0,SFN201504220
2015-04-23,0,Thu,LAN,SFN,bolsm001,voger001,2,3,34,6,0,0,2,2,1,0,2,2,0,7,0,0,1,0,7,7,3,3,0,0,28,11,1,0,1,0,SFN201504230
2015-04-24,0,Fri,LAN,SDN,greiz001,casha001,3,0,32,8,1,0,1,3,0,1,1,2,0,6,0,0,2,0,6,4,0,0,0,0,27,11,0,0,1,0,SDN201504240
2015-04-25,0,Sat,LAN,SDN,mccab001,kenni001,11,8,38,13,4,0,4,11,1,0,1,5,0,4,0,0,0,0,7,4,8,8,2,0,27,7,0,0,0,0,SDN201504250
2015-04-26,0,Sun,LAN,SDN,bakes002,morrb001,1,3,29,5,0,0,1,1,1,0,0,1,0,6,0,1,1,0,3,2,3,3,2,0,24,9,0,0,0,0,SDN201504260
2015-04-27,0,Mon,SFN,LAN,linct001,andeb004,3,8,33,11,1,1,2,7,1,0,0,5,0,2,1,0,0,0,7,5,3,3,0,0,27,12,0,0,1,0,LAN201504270
2015-04-28,0,Tue,SFN,LAN,bumgm001,kersc001,2,1,32,5,1,0,0,1,0,0,0,1,0,10,0,0,1,0,5,5,2,2,0,0,27,15,0,0,1,0,LAN201504280
2015-04-29,0,Wed,SFN,LAN,voger001,greiz001,3,7,28,8,3,0,4,7,0,2,0,3,0,4,0,0,2,0,2,4,3,3,0,0,27,7,1,0,0,0,LAN201504290
2015-05-01,0,Fri,ARI,LAN,delar003,friac001,0,8,30,6,0,0,3,8,0,0,0,6,0,12,0,0,0,0,4,4,0,0,0,0,27,10,1,0,1,0,LAN201505010
2015-05-02,0,Sat,ARI,LAN,hellj001,bakes002,4,6,35,12,3,0,2,6,0,0,0,2,0,9,0,1,0,0,7,4,4,4,0,0,27,8,0,0,0,0,LAN201505020
2015-05-03,0,Sun,ARI,LAN,andec001,andeb004,0,1,41,6,2,0,1,1,0,0,1,2,0,15,0,0,1,0,7,8,0,0,0,0,39,19,0,0,3,0,LAN201505030
2015-05-04,0,Mon,LAN,MIL,kersc001,lohsk001,3,4,32,6,1,0,1,3,0,1,1,5,0,11,0,0,0,0,9,2,4,4,0,1,24,15,1,0,0,0,MIL201505040
2015-05-05,0,Tue,LAN,MIL,greiz001,garzm001,8,2,36,9,2,0,3,8,0,0,0,6,0,9,0,0,0,0,7,3,1,1,0,0,27,8,1,0,1,0,MIL201505050
2015-05-06,0,Wed,LAN,MIL,wielj001,peraw001,3,6,33,8,1,0,2,2,1,0,0,0,0,8,0,0,1,0,4,5,6,6,2,0,24,9,0,0,0,0,MIL201505060
2015-05-07,0,Thu,LAN,MIL,friac001,fierm001,14,4,38,13,1,1,3,14,0,0,1,10,2,11,0,0,2,0,8,4,4,4,0,0,27,9,0,0,0,0,MIL201505070
2015-05-08,0,Fri,LAN,COL,andeb004,butle001,2,1,17,5,1,0,0,2,0,1,1,4,0,3,1,1,1,0,5,1,0,0,0,0,15,11,1,0,2,0,COL201505080
2015-05-10,0,Sun,LAN,COL,kersc001,delaj001,9,5,32,9,3,0,1,9,1,1,0,10,0,9,0,0,1,0,8,4,5,5,0,0,27,12,0,0,0,0,COL201505100
2015-05-11,0,Mon,MIA,LAN,koeht001,greiz001,3,5,29,7,2,0,1,5,1,0,0,5,0,6,0,1,0,0,5,5,3,3,1,0,27,11,0,0,2,0,LAN201505110
2015-05-12,0,Tue,MIA,LAN,hared001,bolsm001,1,11,44,21,3,0,2,11,0,1,1,1,0,8,0,0,0,0,12,5,1,1,0,0,27,15,0,0,1,0,LAN201505120
2015-05-13,0,Wed,MIA,LAN,cosaj001,friac001,5,4,31,6,1,1,2,3,0,0,0,3,0,6,0,0,1,0,3,5,5,5,0,0,27,13,0,1,1,0,LAN201505130
2015-05-14,0,Thu,COL,LAN,bettc001,andeb004,5,4,35,9,5,0,0,4,0,0,0,6,0,5,1,1,0,0,10,4,5,5,1,0,27,7,1,0,0,0,LAN201505140
2015-05-15,0,Fri,COL,LAN,butle001,kersc001,4,6,33,12,2,0,1,5,1,0,1,5,0,6,0,0,2,0,10,6,4,4,1,0,27,5,0,1,0,0,LAN201505150
2015-05-16,0,Sat,COL,LAN,delaj001,greiz001,7,1,30,3,2,0,0,1,0,0,2,1,0,7,0,0,2,0,5,3,7,7,2,0,27,10,1,0,0,0,LAN201505160
2015-05-17,0,Sun,COL,LAN,kendk001,bolsm001,0,1,26,3,0,0,0,1,0,0,0,6,0,2,0,1,0,0,7,4,0,0,0,0,27,7,0,0,0,0,LAN201505170
2015-05-19,0,Tue,LAN,SFN,friac001,hudst001,0,2,33,7,1,0,0,0,0,0,0,5,0,3,0,1,0,0,11,3,1,1,1,0,24,17,1,0,1,0,SFN201505190
2015-05-20,0,Wed,LAN,SFN,andeb004,linct001,0,4,33,6,2,0,0,0,0,0,0,2,0,5,0,0,0,0,8,3,4,4,1,1,24,11,0,0,0,0,SFN201505200
2015-05-21,0,Thu,LAN,SFN,kersc001,bumgm001,0,4,34,9,2,0,0,0,0,0,0,3,0,8,0,0,2,0,10,3,4,4,0,0,24,12,0,0,1,0,SFN201505210
2015-05-22,0,Fri,SDN,LAN,casha001,greiz001,1,2,29,6,1,0,1,2,0,0,0,1,0,4,0,0,1,0,4,3,1,1,0,0,27,8,0,0,0,0,LAN201505220
2015-05-23,0,Sat,SDN,LAN,kenni001,bolsm001,0,2,30,6,1,0,1,2,0,0,0,0,0,9,2,0,0,0,4,2,0,0,0,0,27,11,0,0,1,0,LAN201505230
