Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,COL,MIL,kendk001,lohsk001,10,0,33,8,0,0,0,0,0,0,1,0,0,9,0,0,2,0,7,5,9,9,2,0,27,12,3,0,2,0
2015-04-07,0,Tue,COL,MIL,lylej001,garzm001,5,2,31,6,3,0,0,1,0,0,1,1,0,7,0,0,1,0,4,4,5,5,0,0,27,10,1,0,0,0
2015-04-08,0,Wed,COL,MIL,butle001,peraw001,5,4,36,8,1,0,1,4,0,0,0,5,0,8,1,0,2,0,7,4,5,5,0,0,30,10,0,0,0,0
2015-04-10,0,Fri,PIT,MIL,lockj001,fierm001,6,2,35,9,4,1,0,2,0,0,1,2,0,6,0,1,0,0,9,5,6,6,0,0,27,7,0,0,0,0
2015-04-11,0,Sat,PIT,MIL,worlv001,nelsj004,0,6,30,7,5,0,1,6,1,0,0,2,0,6,0,0,0,0,3,3,0,0,0,0,27,10,0,0,2,0
2015-04-12,0,Sun,PIT,MIL,sadlc002,lohsk001,10,2,31,5,2,0,1,2,0,0,0,4,0,9,0,1,0,0,6,5,4,4,0,0,27,11,1,0,0,0
2015-04-13,0,Mon,MIL,SLN,garzm001,waina001,5,4,33,8,3,0,0,4,2,0,0,1,0,6,0,0,1,0,4,5,2,2,2,0,27,14,2,0,0,0
2015-04-15,0,Wed,MIL,SLN,peraw001,lynnl001,2,4,37,10,2,0,0,2,1,0,0,2,0,6,0,0,0,0,11,3,4,4,0,0,24,7,1,0,0,0
2015-04-16,0,Thu,MIL,SLN,fierm001,lackj001,0,4,34,6,0,0,0,0,0,0,0,1,0,10,0,0,0,0,8,5,4,4,0,0,24,5,1,0,1,0
2015-04-17,0,Fri,MIL,PIT,nelsj004,worlv001,3,6,34,8,3,0,0,3,0,0,0,4,2,9,0,0,1,0,8,4,5,5,0,1,24,13,1,1,1,0
2015-04-18,0,Sat,MIL,PIT,lohsk001,lockj001,2,6,30,5,0,0,0,2,0,1,1,0,0,8,1,0,1,0,3,2,6,6,1,0,24,8,0,0,0,0
2015-04-19,0,Sun,MIL,PIT,garzm001,coleg001,2,5,32,5,0,0,0,1,0,0,0,1,0,9,0,0,2,0,4,3,5,5,2,0,24,12,2,0,2,0
2015-04-20,0,Mon,CIN,MIL,desca001,peraw001,6,1,31,3,1,0,1,1,0,0,0,1,0,7,0,0,0,0,4,3,6,6,0,0,27,14,1,0,1,0
2015-04-21,0,Tue,CIN,MIL,marqj001,fierm001,16,10,38,12,2,0,2,10,0,1,0,3,0,15,0,0,0,0,5,6,11,11,0,1,27,9,2,0,0,0
2015-04-22,0,Wed,CIN,MIL,cuetj001,nelsj004,2,1,31,5,1,0,0,1,1,0,0,2,0,10,0,0,0,0,6,2,2,2,1,0,27,10,0,0,3,0
2015-04-23,0,Thu,CIN,MIL,bailh001,lohsk001,2,4,31,10,1,0,2,3,1,0,0,2,0,7,2,0,2,0,6,3,2,2,0,0,27,8,0,0,1,0
2015-04-24,0,Fri,SLN,MIL,martc006,garzm001,3,0,30,5,1,0,0,0,0,0,0,2,0,10,0,2,0,0,5,4,3,3,2,0,27,13,0,0,0,0
2015-04-25,0,Sat,SLN,MIL,waina001,peraw001,5,3,33,9,3,0,0,3,0,0,1,3,0,8,0,0,1,0,7,5,5,5,0,0,27,14,2,0,1,0
2015-04-26,0,Sun,SLN,MIL,lynnl001,fierm001,3,6,34,10,4,1,1,6,0,0,0,1,0,7,0,0,0,0,5,5,2,2,0,0,27,10,1,0,0,0
2015-04-27,0,Mon,MIL,CIN,nelsj004,marqj001,6,9,34,11,3,0,0,6,1,0,1,3,0,6,0,0,3,0,6,4,9,9,4,0,24,10,1,0,1,0
2015-04-28,0,Tue,MIL,CIN,lohsk001,cuetj001,2,4,30,3,0,0,2,2,0,0,1,0,0,8,0,0,0,0,2,2,4,4,0,0,24,3,0,0,1,0
2015-04-29,0,Wed,MIL,CIN,garzm001,lorem002,8,3,38,12,1,0,4,8,2,0,1,3,0,11,0,0,0,0,9,4,3,3,0,0,27,9,0,0,2,0
2015-05-01,0,Fri,MIL,CHN,peraw001,lestj001,0,1,30,4,1,0,0,0,1,0,1,1,0,8,1,0,0,0,6,3,1,1,0,0,24,8,0,0,2,0
2015-05-02,0,Sat,MIL,CHN,fierm001,arrij001,6,1,34,9,1,1,1,5,2,0,0,3,1,11,3,1,0,0,6,4,1,1,0,0,27,4,0,0,0,0
2015-05-03,0,Sun,MIL,CHN,nelsj004,hammj002,5,3,33,9,3,0,1,5,0,1,1,2,1,7,0,1,1,0,5,4,2,2,0,0,27,8,2,0,1,0
