Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,TEX,OAK,gally001,grays001,0,8,28,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,3,4,8,8,2,0,24,6,1,0,0,0
2015-04-07,0,Tue,TEX,OAK,lewic001,hahnj001,3,1,34,8,1,0,0,2,0,0,3,0,0,6,0,0,1,0,7,4,1,1,0,0,27,9,1,0,3,0
2015-04-08,0,Wed,TEX,OAK,detwr001,kazms001,0,10,30,3,1,0,0,0,1,0,0,2,0,13,0,0,0,0,6,3,7,7,1,0,24,11,3,1,0,0
2015-04-09,0,Thu,TEX,OAK,martn002,gravk001,10,1,38,12,1,0,4,9,0,1,2,2,0,5,0,0,1,0,6,3,1,1,0,0,27,8,0,0,2,0
2015-04-10,0,Fri,HOU,TEX,mchuc001,holld003,5,1,32,6,3,0,0,1,0,0,0,2,0,8,0,1,0,0,6,6,5,5,0,0,27,10,2,0,2,0
2015-04-11,0,Sat,HOU,TEX,carmf001,gally001,2,6,33,9,4,1,0,4,1,0,1,4,1,4,1,0,0,0,9,6,2,2,0,0,27,5,0,0,0,0
2015-04-12,0,Sun,HOU,TEX,keucd001,lewic001,6,4,49,9,1,0,0,4,0,1,4,7,0,9,0,0,1,0,15,7,6,6,0,0,42,15,1,0,4,0
2015-04-13,0,Mon,ANA,TEX,shoem001,detwr001,6,3,33,7,2,0,0,3,0,1,0,1,0,11,1,0,0,0,5,3,6,6,0,0,27,7,0,0,0,0
2015-04-14,0,Tue,ANA,TEX,rucid001,martn002,2,8,33,11,3,0,2,8,0,0,1,5,0,6,3,0,1,0,7,3,1,1,1,0,27,8,1,0,1,0
2015-04-15,0,Wed,ANA,TEX,santh001,ranaa001,10,2,33,6,1,0,2,2,0,0,1,3,0,7,0,0,0,0,8,4,10,10,0,0,27,12,1,0,0,0
